"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","AB","0+","3.097 m 12 , % β- = 0.020 2, % α = 99.980 2","","","","","",
"509.70 10","AB","2+","","509.7 1","100","[E2]","0.0","0+",
"676 4 ?","B","","","","","","","",
"935.20 15","A","(4+)","","425.5 1","100","[E2]","509.70","2+",
"1320.90 18","A","(6+)","","385.7 1","100","[E2]","935.20","(4+)",
"1583.90 20","A","(8+)","","263.0 1","100","[E2]","1320.90","(6+)",
"1757.9 3","A","","","174.5 9 ,   437.0 2","5.0 25 ,   100 50",",","1583.90,   1320.90","(8+), (6+)",
"1858.70 20","A","","","537.8 1","100","","1320.90","(6+)",
"1871.0 3","A","","","287.1 2","100","","1583.90","(8+)",
"2002.2 6","A","","","418.3 5","100","","1583.90","(8+)",
"2047.5 6","A","","","176.6 9 ,   463.5 6","1.6 16 ,   100 33",",","1871.0,   1583.90",", (8+)",
"2286.8 4","A","","","702.9 3","100","","1583.90","(8+)",

"E(level)(keV)","Jπ(level)","T1/2(level)","E(γ)(keV)","Multipolarity","ConversionCoefficient","Additional Data",
"509.70","2+","","509.7 1","[E2]","0.0307","α=0.0307",
"935.20","(4+)","","425.5 1","[E2]","0.0478","α=0.0478",
"1320.90","(6+)","","385.7 1","[E2]","0.0619","α=0.0619",
"1583.90","(8+)","","263.0 1","[E2]","0.189","α=0.189",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"0.0","0+","3.097 m 12 , % β- = 0.020 2, % α = 99.980 2","RMS nuclear charge radius relative to that of 210Po: δ|4r2|5(218Po,210Po)=+0.948 fm2 10(stat) 7(syst) (2015Fi07).",

