"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","AB","0+","164.3 µS 20 , % α = 100","","","","","",
"609.316 4","AB","2+","% IT = 100, % α = 0.00026","609.320 5","100","E2","0.0","0+",
"1015.039 20","B","(4+)","","405.72 2","100","[E2]","609.316","2+",
"1274.766 9","B","(3)-","% IT = 100, % α = 0.0015","665.447 9","100","E1","609.316","2+",
"1377.678 5","B","2+","","768.360 5 ,   1377.669 8","100.00 22 ,      81.48 22","M1+E2, E2","609.316,      0.0","2+, 0+",
"1415.495 10","B","0+","99 ps 3","806.180 9 ,   1415.8","100.0 4 ,","E2, E0","609.316,      0.0","2+, 0+",
"1543.372 7","B","2+","% IT = 100, % α = 0.0017","268.8 2 ,    528 1 ,    934.056 6 ,   1543.34 5","0.53 6 ,       0.15 6 ,     100.0 3 ,       9.8 3","[E1], [E2], M1+E2, [E2]","1274.766,   1015.039,    609.316,      0.0","(3)-, (4+), 2+, 0+",
"1661.279 13","B","2+","% IT = 100, % α = 0.0034","1051.96 3 ,   1661.274 16","29.9 7 ,     100.0 6","[M1,E2], E2","609.316,      0.0","2+, 0+",
"1712.97 7","B","(3)+","","697.93 8 ,   1103.70 13","69 4 ,     100 12","[M1,E2], [M1,E2]","1015.039,    609.316","(4+), 2+",
"1729.609 6","B","2+","% IT = 100, % α = 0.00011","351.9 5 ,    454.79 2 ,   1120.294 6 ,   1729.595 11","0.5 1 ,       1.96 3 ,     100.0 2 ,      19.29 5","[M1+E2], [E1], M1+E2, E2","1377.678,   1274.766,    609.316,      0.0","2+, (3)-, 2+, 0+",
"1742.98 3","B","0+","","1133.66 3","100","[E2]","609.316","2+",
"1764.515 7","B","1+","","221 1 ,    348.92 6 ,    386.78 5 ,   1155.210 8 ,   1764.491 10","0.02 1 ,       0.68 8 ,       1.93 3 ,      10.68 4 ,     100.0 2","[M1,E2], [M1], [M1,E2], M1+E2, M1","1543.372,   1415.495,   1377.678,    609.316,      0.0","2+, 0+, 2+, 2+, 0+",
"1847.443 7","B","2+","% IT = 100, % α = 0.0012","304.2 2 ,    469.77 4 ,    572.78 6 ,    832.36 9 ,   1238.122 7 ,   1847.429 16","≤0.65,       2.26 9 ,       1.34 8 ,       0.48 4 ,     100.00 25 ,      34.70 16","[M1,E2], [M1,E2], [E1], [E2], M1+E2,","1543.372,   1377.678,   1274.766,   1015.039,    609.316,      0.0","2+, 2+, (3)-, (4+), 2+, 0+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"1890.306 11","B","2+","","615.77 5 ,   1280.976 10 ,   1890.32 9","3.8 5 ,     100.0 4 ,       5.8 6","[E1], M1,","1274.766,    609.316,      0.0","(3)-, 2+, 0+",
"1994.640 12","B","(2)-","","104.4 2 ,    230 1 ,    333.37 5 ,    579.14 16 ,    617.1 2 ,    719.87 3 ,   1385.310 13",",      ≤0.50,       8.2 5 ,  ,       4.3 5 ,      49.4 10 ,     100.0 6",", [E1], [E1], , [E1], E2, [E1]","1890.306,   1764.515,   1661.279,   1415.495,   1377.678,   1274.766,    609.316","2+, 1+, 2+, 0+, 2+, (3)-, 2+",
"2010.830 12","B","2+","","297.81 24 ,    595.24 7 ,    633.10 4 ,   1401.515 12 ,   2010.82 9",",       1.31 11 ,       4.19 21 ,     100.0 4 ,       3.34 11",", [E2], [M1,E2], (M1+E2),","1712.97,   1415.495,   1377.678,    609.316,      0.0","(3)+, 0+, 2+, 2+, 0+",
"2017.309 12","B","0+","% IT = 100, % α = 0.0014","252.80 6 ,    356.00 17 ,    639.62 8 ,   1407.988 11 ,   2016.7","0.13 4 ,       0.28 8 ,       1.39 11 ,     100.0 3 ,","[M1], [E2], [E2], (E2), E0","1764.515,   1661.279,   1377.678,    609.316,      0.0","1+, 2+, 2+, 2+, 0+",
"2088.44 5","B","1+,1-,2+","","71.1 2 ,    710.71 8 ,   1479.17 9",",     100 2 ,      74 5",", ,","2017.309,   1377.678,    609.316","0+, 2+, 2+",
"2118.533 9","B","1+","","388.89 5 ,    703.11 4 ,    740.76 13 ,   1509.210 10 ,   2118.514 19","18.9 5 ,      22.2 4 ,       2.01 10 ,     100.0 4 ,      54.5 3","(M1), [M1], [M1,E2], M1+E2, M1","1729.609,   1415.495,   1377.678,    609.316,      0.0","2+, 0+, 2+, 2+, 0+",
"2147.83 4","B","1(-),2+","% IT = 99.98, % α = 0.020","486.7 3 ,    769.7 5 ,    873.06 18 ,   1538.53 5 ,   2147.99 11","<1.5,       7.3 24 ,       4.6 7 ,     100 3 ,       3.45 21",", , , ,","1661.279,   1377.678,   1274.766,    609.316,      0.0","2+, 2+, (3)-, 2+, 0+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"2192.537 15","B","2+","","428.07 8 ,    649.22 5 ,    814.96 9 ,    917.7 3 ,   1583.204 15 ,   2192.59 11","1.60 18 ,       8.1 7 ,       5.5 4 ,       0.6 5 ,     100.0 8 ,       6.0 18","[M1,E2], [M1,E2], [M1,E2], [E1], M1+E2,","1764.515,   1543.372,   1377.678,   1274.766,    609.316,      0.0","1+, 2+, 2+, (3)-, 2+, 0+",
"2204.089 17","B","1+","","461.08 11 ,    474.44 4 ,    542.83 7 ,    660.94 13 ,    788.6 4 ,    826.45 10 ,   1594.75 7 ,   2204.059 22","1.03 12 ,       2.00 11 ,       1.57 12 ,       1.08 8 ,       0.27 4 ,       2.4 3 ,       5.4 3 ,     100.0 4","[M1], [M1,E2], [M1,E2], [M1,E2], [M1], M1, [M1], M1","1742.98,   1729.609,   1661.279,   1543.372,   1415.495,   1377.678,    609.316,      0.0","0+, 2+, 2+, 2+, 0+, 2+, 2+, 0+",
"2208.69 3","B","(2,3)","","547.6 3 ,    934.1 2 ,   1599.37 5","<1.1,      15 3 ,     100 4",", ,","1661.279,   1274.766,    609.316","2+, (3)-, 2+",
"2266.41 4","B","1(-),2+","% α = 0.033, % IT = 99.97","61.0 8 ,    501.99 14 ,    536.78 4 ,    723.08 10 ,    991.49 19 ,   1657.07 17 ,   2266.53 11",",      28 3 ,     100 9 ,      58 5 ,      16 3 ,      74 7 ,      25.7 12",", , , E2, [E1], ,","2204.089,   1764.515,   1729.609,   1543.372,   1274.766,    609.316,      0.0","1+, 1+, 2+, 2+, (3)-, 2+, 0+",
"2293.358 17","B","1(+),2+","","878.03 12 ,    915.75 13 ,   1684.012 20 ,   2293.38 3","3.8 9 ,       7.5 7 ,      69.8 16 ,     100.0 11","[M1,E2], [M1,E2], ,","1415.495,   1377.678,    609.316,      0.0","0+, 2+, 2+, 0+",
"2348.3 7","B","1+,1-,2+","","1739.1 8 ,   2348.0 13",",     100",",","609.316,      0.0","2+, 0+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"2360.57 9","B","1+,1-,2+","","630.8 1 ,   1751.6 6 ,   2360.98 17","≤1115,      62 28 ,     100 8",", ,","1729.609,    609.316,      0.0","2+, 2+, 0+",
"2423.23 6","B","1+,1-,2+","","230 1 ,    334.78 8 ,    658.7 2 ,    693.3 3 ?,    710.3 3 ?,   1045.7 2 ,   1813.72 13 ,   2423.34 11","≤17,    ≤158,      58 8 ,      24 7 ,  ,     100 10 ,      47 4 ,      21 2",", , , , , , ,","2192.537,   2088.44,   1764.515,   1729.609,   1712.97,   1377.678,    609.316,      0.0","2+, 1+,1-,2+, 1+, 2+, (3)+, 2+, 2+, 0+",
"2447.702 17","B","1-","% IT = 100, % α = 0.0050","255.16 10 ,    452.92 10 ,    683.23 5 ,    704.96 22 ,    786.35 14 ,    904.31 8 ,   1032.38 7 ,   1069.96 7 ,   1173.00 8 ,   1838.36 4 ,   2447.70 3",",       2.0 2 ,       5.3 3 ,       3.0 4 ,      20 3 ,       4.9 5 ,       4.1 3 ,      17.6 6 ,       3.5 2 ,      22.6 6 ,     100.0 4",", [M1,E2], [E1], [E1], [E1], [E1], [E1], [E1], [E2], , E1","2192.537,   1994.640,   1764.515,   1742.98,   1661.279,   1543.372,   1415.495,   1377.678,   1274.766,    609.316,      0.0","2+, (2)-, 1+, 0+, 2+, 2+, 0+, 2+, (3)-, 2+, 0+",
"2482.468 16","B","(2)+","","273.80 5 ,    334.78 8 ,    394.05 8 ?,    487.95 13 ,    634.72 21 ,    752.85 3 ,    821.18 3 ,    939.6 5 ,   1104.71 13 ,   1207.68 3 ,   1873.16 5 ,   2482.8 4","28.4 15 ,      ≤8.20,       2.79 21 ,       6.2 20 ,       1.4 5 ,      28.5 15 ,      35.7 18 ,       3.9 13 ,      17.2 8 ,     100.0 23 ,      47.5 17 ,       0.5 2",", , , [E1], [M1,E2], [M1,E2], M1, [M1,E2], [M1,E2], [E1], ,","2208.69,   2147.83,   2088.44,   1994.640,   1847.443,   1729.609,   1661.279,   1543.372,   1377.678,   1274.766,    609.316,      0.0","(2,3), 1(-),2+, 1+,1-,2+, (2)-, 2+, 2+, 2+, 2+, 2+, (3)-, 2+, 0+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"2505.37 7","B","1(-),2+","","961.62 17 ,   1230.6 3 ,   1896.05 12 ,   2505.48 10","6.7 9 ,       5.6 18 ,     100 5 ,       3.8 3",", , ,","1543.372,   1274.766,    609.316,      0.0","2+, (3)-, 2+, 0+",
"2508.17 7","B","","","304.2 2 ,    496.90 18 ,    965.00 10 ,   1130.45 16 ,   1898.68 14","≤76,      14 4 ,      21 5 ,      73 6 ,     100 14",", , , ,","2204.089,   2010.830,   1543.372,   1377.678,    609.316","1+, 2+, 2+, 2+, 2+",
"2544.96 11","B","","","36.8 2 ,   1167.3 2 ,   1935.62 16",",      38 5 ,     100 10",", ,","2508.17,   1377.678,    609.316",", 2+, 2+",
"2553.0 5","B","","","1943.7 8 ,   2553.0 6",",",",","609.316,      0.0","2+, 0+",
"2562.4 5","B","","","1953.4 6 ,   2562.0 6",",     100",",","609.316,      0.0","2+, 0+",
"2604.68 6","B","(2+)","","396.02 6 ,    840.4 5 ,    891.8 3 ,    943.33 11 ,   1226.7 3 ,   1329.94 16 ,   1994.6 5 ,   2604.5 4","33 4 ,      12 3 ,  ,      21 3 ,     ≤22,     100 7 ,       8 3 ,       0.49 9",", , , , , , ,","2208.69,   1764.515,   1712.97,   1661.279,   1377.678,   1274.766,    609.316,      0.0","(2,3), 1+, (3)+, 2+, 2+, (3)-, 2+, 0+",
"2630.86 8","B","1+,1-,2+","","866.0 8 ,   1087.4,   1253.14 12 ,   2021.55 10 ,   2630.9 2",",      73 33 ,  ,     100 8 ,       4.2 6",", , , ,","1764.515,   1543.372,   1377.678,    609.316,      0.0","1+, 2+, 2+, 2+, 0+",
"2662.31 7","B","(2+)","","651.50 16 ,    949.8 5 ,   1118.9 5 ,   1284 1 ,   1387.5 2 ,   2052.97 9 ,   2662.3 5","<2.65,       8 3 ,      56 14 ,      16.6 13 ,  ,     100 5 ,       0.30 6",", , , , , ,","2010.830,   1712.97,   1543.372,   1377.678,   1274.766,    609.316,      0.0","2+, (3)+, 2+, 2+, (3)-, 2+, 0+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
