"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"4-","","724.86 2","M1+E2","1.02 27","0.031","α=0.031 5, α(K)=0.025 5, α(L)=0.0046 7, α(M)=0.00109 15, α(N)=0.00028 4, α(O)=5.8×10-5 8, α(P)=7.3E-6 11",
"4-","","1684.6 4","E1","","1.40×10-3","α=1.40×10-3, α(K)=0.000924 13, α(L)=0.0001398 20, α(M)=3.23E-5 5, α(N)=8.29E-6 12, α(O)=1.732E-6 25, α(P)=2.24E-7 4",
"E(level), (keV)","Jπ(level)","T1/2(level)","E(γ), (keV)","Multipolarity","Mixing, Ratio","Conversion, Coefficient","Additional Data",
"3125.15","(6)-","","721.84 3","E1","","0.00496","α=0.00496, α(K)=0.00410 6, α(L)=0.000653 10, α(M)=0.0001520 22, α(N)=3.89×10-5 6, α(O)=8.07E-6 12, α(P)=1.019E-6 15",
"(6)-","","799.19 4","E1","","0.00409","α=0.00409, α(K)=0.00339 5, α(L)=0.000535 8, α(M)=0.0001245 18, α(N)=3.19×10-5 5, α(O)=6.62E-6 10, α(P)=8.39E-7 12",
"3137.99","(8)-","","699.51 25","E1","","0.00526","α=0.00526, α(K)=0.00436 7, α(L)=0.000694 10, α(M)=0.0001617 23, α(N)=4.14×10-5 6, α(O)=8.58E-6 12, α(P)=1.083E-6 16",
"(8)-","","949.97 4","E1+M2","0.14 4","0.0040","α=0.0040 7, α(K)=0.0033 6, α(L)=0.00055 11, α(M)=0.000129 25, α(N)=3.3×10-5 7, α(O)=6.9E-6 14, α(P)=8.8E-7 18",
"(8)-","","1581.09 4","E1+M2","0.25 5","0.0023","α=0.0023 4, α(K)=0.0017 3, α(L)=0.00028 5, α(M)=6.4×10-5 12, α(N)=1.7E-5 3, α(O)=3.5E-6 7, α(P)=4.5E-7 8",
"3182.79","10-","","183.31 3","M1","","1.98","α=1.98, α(K)=1.612 23, α(L)=0.284 4, α(M)=0.0671 10, α(N)=0.01726 25, α(O)=0.00361 5, α(P)=0.000467 7",
"10-","","333.61 2","M1","","0.378","α=0.378, α(K)=0.308 5, α(L)=0.0537 8, α(M)=0.01265 18, α(N)=0.00326 5, α(O)=0.000681 10, α(P)=8.81×10-5 13",
"10-","","1625.91 6","M2+E3","0.44 32","0.0128","α=0.0128 17, α(K)=0.0103 14, α(L)=0.00186 22, α(M)=0.00044 5, α(N)=0.000114 13, α(O)=2.4×10-5 3, α(P)=3.1E-6 4",
"3218.98","(6)+","","780.62 3","M1+E2","0.59 18","0.032","α=0.032 4, α(K)=0.026 3, α(L)=0.0046 4, α(M)=0.00109 9, α(N)=0.000281 23, α(O)=5.9×10-5 5, α(P)=7.5E-6 7",
"(6)+","","1745.98 29","M1+E2","3","0.00299","α=0.00299, α(K)=0.00232 4, α(L)=0.000393 6, α(M)=9.24×10-5 13, α(N)=2.37E-5 4, α(O)=4.95E-6 7, α(P)=6.31E-7 9",
"3428.59","5-","","316.99 9","M1","","0.435","α=0.435, α(K)=0.354 5, α(L)=0.0618 9, α(M)=0.01455 21, α(N)=0.00375 6, α(O)=0.000784 11, α(P)=0.0001013 15",
"5-","","402.15 2","M1","","0.228","α=0.228, α(K)=0.186 3, α(L)=0.0323 5, α(M)=0.00760 11, α(N)=0.00195 3, α(O)=0.000409 6, α(P)=5.29×10-5 8",
"5-","","518.3 2","M1","","0.1158","α=0.1158, α(K)=0.0945 14, α(L)=0.01628 23, α(M)=0.00383 6, α(N)=0.000986 14, α(O)=0.000206 3, α(P)=2.67×10-5 4",
"5-","","1041.7 3","(E2)","","0.00680","α=0.00680, α(K)=0.00539 8, α(L)=0.001073 15, α(M)=0.000257 4, α(N)=6.60×10-5 10, α(O)=1.359E-5 19, α(P)=1.663E-6 24",
"5-","","1955.14 6","E1","","1.36×10-3","α=1.36×10-3, α(K)=0.000723 11, α(L)=0.0001088 16, α(M)=2.51E-5 4, α(N)=6.45E-6 9, α(O)=1.348E-6 19, α(P)=1.746E-7 25",
"3525.37","6-","","499.06 7","M1","","0.1281","α=0.1281, α(K)=0.1044 15, α(L)=0.0180 3, α(M)=0.00424 6, α(N)=0.001091 16, α(O)=0.000228 4, α(P)=2.96×10-5 5",
"6-","","615.26 4","M1+E2","1.1 2","0.044","α=0.044 6, α(K)=0.035 5, α(L)=0.0069 7, α(M)=0.00165 15, α(N)=0.00042 4, α(O)=8.7×10-5 8, α(P)=1.09E-5 12",
"6-","","1087.02 6","(E1+M2)","0.29 6","0.0053","α=0.0053 12, α(K)=0.0043 10, α(L)=0.00075 19, α(M)=0.00018 5, α(N)=4.5×10-5 12, α(O)=9.5E-6 24, α(P)=1.2E-6 3",
"6-","","1122.0 2","(E1+M2)","0.39 15","0.007","α=0.007 4, α(K)=0.006 3, α(L)=0.0010 5, α(M)=0.00023 12, α(N)=6.E-5 3, α(O)=1.2E-5 7, α(P)=1.6E-6 9",
"6-","","2052.1 3","(E1)","","1.36×10-3","α=1.36×10-3, α(K)=0.000668 10, α(L)=0.0001004 14, α(M)=2.32E-5 4, α(N)=5.95E-6 9, α(O)=1.244E-6 18, α(P)=1.612E-7 23",
"3685.41","7-","","1497.41 5","E1","","1.51×10-3","α=1.51×10-3, α(K)=0.001124 16, α(L)=0.0001710 24, α(M)=3.96E-5 6, α(N)=1.014E-5 15, α(O)=2.12E-6 3, α(P)=2.73E-7 4",
"7-","","2128.08 15","E1","","1.37×10-3","α=1.37×10-3, α(K)=0.000630 9, α(L)=9.45E-5 14, α(M)=2.18E-5 3, α(N)=5.60E-6 8, α(O)=1.171E-6 17, α(P)=1.519E-7 22",
"7-","","2211.81 22","E1","","1.38×10-3","α=1.38×10-3, α(K)=0.000592 9, α(L)=8.87E-5 13, α(M)=2.05E-5 3, α(N)=5.25E-6 8, α(O)=1.099E-6 16, α(P)=1.426E-7 20",
"3699.61","5-","","1312.39 20","E2","","0.00441","α=0.00441, α(K)=0.00354 5, α(L)=0.000648 9, α(M)=0.0001537 22, α(N)=3.95×10-5 6, α(O)=8.17E-6 12, α(P)=1.020E-6 15",
"5-","","1409.4 2","(E3)","","0.00817","α=0.00817, α(K)=0.00631 9, α(L)=0.001399 20, α(M)=0.000340 5, α(N)=8.75×10-5 13, α(O)=1.80E-5 3, α(P)=2.19E-6 3",
"5-","","2226.61 14","E1+M2","0.61 19","0.0028","α=0.0028 7, α(K)=0.0018 6, α(L)=0.00031 10, α(M)=7.2×10-5 24, α(N)=1.9E-5 6, α(O)=3.9E-6 13, α(P)=5.1E-7 17",
"5-","","2272.86 7","E1","","1.39×10-3","α=1.39×10-3, α(K)=0.000566 8, α(L)=8.48E-5 12, α(M)=1.96E-5 3, α(N)=5.02E-6 7, α(O)=1.051E-6 15, α(P)=1.364E-7 19",
"E(level), (keV)","Jπ(level)","T1/2(level)","E(γ), (keV)","Multipolarity","Mixing, Ratio","Conversion, Coefficient","Additional Data",
"3711.01","(5-)","","2238.17 23","(E1)","","1.38×10-3","α=1.38×10-3, α(K)=0.000580 9, α(L)=8.70E-5 13, α(M)=2.01E-5 3, α(N)=5.15E-6 8, α(O)=1.078E-6 15, α(P)=1.399E-7 20",
"3727.34","(6)-","","201.8 2","M1","","1.516","α=1.516, α(K)=1.231 18, α(L)=0.217 3, α(M)=0.0511 8, α(N)=0.01316 19, α(O)=0.00275 4, α(P)=0.000356 5",
"(6)-","","298.38 10","M1","","0.513","α=0.513, α(K)=0.417 6, α(L)=0.0729 11, α(M)=0.01719 25, α(N)=0.00443 7, α(O)=0.000926 13, α(P)=0.0001197 17",
"(6)-","","602.5 2","M1","","0.0778","α=0.0778, α(K)=0.0635 9, α(L)=0.01090 16, α(M)=0.00256 4, α(N)=0.000660 10, α(O)=0.0001381 20, α(P)=1.79×10-5 3",
"(6)-","","701.0 2","M1","","0.0523","α=0.0523, α(K)=0.0427 6, α(L)=0.00730 11, α(M)=0.001716 24, α(N)=0.000442 7, α(O)=9.25×10-5 13, α(P)=1.198E-5 17",
"(6)-","","817.23 10","M1+E2","0.53 23","0.030","α=0.030 4, α(K)=0.024 3, α(L)=0.0042 5, α(M)=0.00100 11, α(N)=0.00026 3, α(O)=5.4×10-5 6, α(P)=6.9E-6 8",
"(6)-","","2254.28 12","E1","","1.38×10-3","α=1.38×10-3, α(K)=0.000574 8, α(L)=8.60E-5 12, α(M)=1.99E-5 3, α(N)=5.09E-6 8, α(O)=1.065E-6 15, α(P)=1.382E-7 20",
"3779.91","(4,5)-","","870.01 8","M1+E2","2 LE","0.022","α=0.022 8, α(K)=0.018 7, α(L)=0.0031 10, α(M)=0.00074 23, α(N)=0.00019 6, α(O)=4.0×10-5 13, α(P)=5.1E-6 18",
"(4,5)-","","2353.02 9","E1","","1.40×10-3","α=1.40×10-3, α(K)=0.000536 8, α(L)=8.02E-5 12, α(M)=1.85E-5 3, α(N)=4.74E-6 7, α(O)=9.93E-7 14, α(P)=1.289E-7 18",
"3780.20","7-","","1453.7 2","E1+M2","0.17 GT","0.010","α=0.010 9, α(K)=0.008 7, α(L)=0.0015 13, α(M)=0.0004 3, α(N)=9.E-5 8, α(O)=1.9E-5 16, α(P)=2.5E-6 21",
"7-","","1592.25 3","E1+M2","0.20 5","0.0020","α=0.0020 3, α(K)=0.00144 23, α(L)=0.00023 4, α(M)=5.4×10-5 10, α(N)=1.38E-5 25, α(O)=2.9E-6 6, α(P)=3.7E-7 7",
"4025.77","(7,8,9-)","","2469.11 14","(E1+M2)","0.23 GT","0.0035","α=0.0035 19, α(K)=0.0024 17, α(L)=0.0004 3, α(M)=9.E-5 7, α(N)=2.4E-5 18, α(O)=5.E-6 4, α(P)=7.E-7 5",
"4145.32","(10)-","","962.61 7","M1","","0.0230","α=0.0230, α(K)=0.0188 3, α(L)=0.00318 5, α(M)=0.000746 11, α(N)=0.000192 3, α(O)=4.02×10-5 6, α(P)=5.22E-6 8",
"(10)-","","1146.47 20","(M1)","","0.01463","α=0.01463, α(K)=0.01198 17, α(L)=0.00202 3, α(M)=0.000473 7, α(N)=0.0001218 17, α(O)=2.55×10-5 4, α(P)=3.31E-6 5",
"4324.12","(11-)","","1474.94 1","M1","","0.00776","α=0.00776, α(K)=0.00628 9, α(L)=0.001051 15, α(M)=0.000246 4, α(N)=6.33×10-5 9, α(O)=1.328E-5 19, α(P)=1.725E-6 25",
"4371.96","13-","54.4 ns 24","47.8","[E2]","","235","α=235, α(L)=174.4 25, α(M)=46.3 7, α(N)=11.84 17, α(O)=2.24 4, α(P)=0.197 3",
"13-","54.4 ns 24","1522.79 2","E2","","0.00340","α=0.00340, α(K)=0.00271 4, α(L)=0.000476 7, α(M)=0.0001124 16, α(N)=2.89×10-5 4, α(O)=5.99E-6 9, α(P)=7.56E-7 11",
"4502.63","(12-)","","1653.43 15","(M1)","","0.00592","α=0.00592, α(K)=0.00469 7, α(L)=0.000782 11, α(M)=0.000183 3, α(N)=4.72×10-5 7, α(O)=9.88E-6 14, α(P)=1.284E-6 18",
"4592.6","","","4592.5 4","[M3]","","0.00278","α=0.00278, α(K)=0.001462 21, α(L)=0.000247 4, α(M)=5.80×10-5 9, α(N)=1.492E-5 21, α(O)=3.13E-6 5, α(P)=4.07E-7 6",
"4776.89","14-","","405.5 5","M1+E2","1.1 3","0.13","α=0.13 3, α(K)=0.101 24, α(L)=0.022 3, α(M)=0.0054 6, α(N)=0.00140 15, α(O)=0.00029 4, α(P)=3.4×10-5 5",
"5057.65","16+","263 ns 5","279.89 10","M2","","2.33","B(M2)(W.u.)=0.130 13, α=2.33, α(K)=1.727 25, α(L)=0.453 7, α(M)=0.1128 16, α(N)=0.0293 5, α(O)=0.00609 9, α(P)=0.000762 11",
"16+","263 ns 5","685.69 2","E3","","0.0438","B(E3)(W.u.)=18.4 9, α=0.0438, α(K)=0.0277 4, α(L)=0.01210 17, α(M)=0.00311 5, α(N)=0.000801 12, α(O)=0.0001601 23, α(P)=1.755E-5 25",
"8074.3","(23+)","9.0 ns 14","1079.3","[E3]","","","B(E3)(W.u.)=26 6",
"(23+)","9.0 ns 14","1090.3","[E3]","","","B(E3)(W.u.)=4.1 15",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"0.0","0+","138.376 d 2 , % α = 100","Isotope shift (1991Ko32)., E(level): Isotope shift (1991Ko32). Configuration=(π 1h9/2)2; L=5 (α,t), (3He,d).",
"1181.398","2+","5.9 ps 12","E(level): Configuration=(π 1h9/2)2; L=5 (α,t), (3He,d).",
"1426.701","4+","1.56 ns 6","XREF: L(1390)., E(level): Configuration=(π 1h9/2)2; L=5 (α,t), (3He,d).",
"1473.357","6+","42.6 ns 10","μ=5.48 5, E(level): Configuration=(π 1h9/2)2; L=5 (α,t), (3He,d).",
"1556.97","8+","98.9 ns 25","Q=-0.552 20, μ=+7.13 5, E(level): Configuration=(π 1h9/2)2; L=5 (α,t), (3He,d).",
"2187.96","8+","","XREF: L(2120)., E(level): Configuration=((π 1h9/2)(π 2f7/2)); L=3 (α,t), (3He,d).",
"2290.14","2+","","E(level): Configuration=((π 1h9/2)(π 2f7/2)); L=3 (α,t), (3He,d).",
"2326.018","6+","","E(level): Configuration=((π 1h9/2)(π 2f7/2)); L=3 (α,t), (3He,d).",
"2382.543","4+","","E(level): Configuration=((π 1h9/2)(π 2f7/2)); L=3 (α,t), (3He,d).",
"2393.78","1+","","E(level): Configuration=((π 1h9/2)(π 2f7/2)); L=3 (α,t), (3He,d).",
"2403.282","5+","","E(level): Configuration=((π 1h9/2)(π 2f7/2)); L=3 (α,t), (3He,d).",
"2413.834","3+","","E(level): Configuration=((π 1h9/2)(π 2f7/2)); L=3 (α,t), (3He,d).",
"2438.36","7+","","E(level): Configuration=((π 1h9/2)(π 2f7/2)); L=3 (α,t), (3He,d).",
"2608.58","0+","","E(level): Configuration=(π 2f7/2)2.",
"2845.97","(3)-","","E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"2849.17","11-","19.6 ns 4","Q=-0.86 11, μ=+12.20 9, E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"2910.059","5-","","E(level): Configuration=((ν 2g9/2)(ν 3p1/2)-1).",
"2999.48","(9)-","","E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"3016.49","(7)-","","E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"3023.74","(2)-","","E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"3026.437","5-","","E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"3075.08","(4)-","","E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"3094.53","4+","","E(level): Configuration=(π 2f7/2)2.",
"3111.646","4-","","E(level): Configuration=((ν 2g9/2)(ν 3p1/2)-1).",
"3125.15","(6)-","","E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"3137.99","(8)-","","E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"3182.79","10-","","E(level): Configuration=((π 1h9/2)(π 1i13/2)); L=6 (α,t), (3He,d).",
"3218.98","(6)+","","E(level): Configuration=(π 2f7/2)2.",
"3477.26","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"3637.49","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"3693.89","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"3792","(2+)","","E(level): Configuration=((π 1h9/2)(π 2f5/2)); L=3 (α,t).",
"4029.1","(4+)","","E(level): Configuration=((π 1h9/2)(π 2f5/2)); L=3 (α,t). From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4043.37","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4105.07","","","XREF: L(4100)., E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4141.08","(6+)","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ). Configuration=((π 1h9/2)(π 2f5/2)); L=3 (α,t).",
"4320","(3+)","","E(level): Configuration=((π 1h9/2)(π 2f5/2)); L=3 (α,t).",
"4329.5","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4382","(5+)","","E(level): Configuration=((π 1h9/2)(π 2f5/2)); L=3 (α,t).",
"4386.9","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4469.83","(6+)","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ). Configuration=((π 1h9/2)(π 2f5/2)); L=3 (α,t).",
"4542.41","(4+)","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4554.0","(7+)","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ). Configuration=((π 1h9/2)(π 2f5/2)); L=3 (α,t).",
"4592.6","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ). From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"4621.59","(3+)","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4624","(5+)","","E(level): From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"4637.71","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4644.9","(6+)","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ). From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"4660.28","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4948.1","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"4974.4","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"4998.2","","","E(level): From 209Bi(3He,dγ). From 209Bi(3He,dγ).",
"8074.3","(23+)","9.0 ns 14","Possible configuration=π(h9/2i13/2) #ν[(p1/2-2g9/2j15/2) or (i13/2-1j15/2)].",

"E(level)","E(gamma)","Comments",
"2403.282","20.72","I(γ): from I(γ+ce) and α(M1)=227.",
"77.2","I(γ): from I(γ+ce) and α(M1)=4.68., M(γ): from 210At ε decay.",
"2438.36","112.29","M(γ): from 210At ε decay.",
"250.35","M(γ): A2=-0.32 6 in 208Pb(α,2nγ) and ce data in 209Bi(t,2nγ).",
"2910.059","527.4","M(γ): from 210At ε decay.",
"3026.437","622.83","M(γ): from 210At ε decay.",
"639.56","M(γ): from 210At ε decay.",
"3428.59","316.99","M(γ): from 210At ε decay.",
"518.3","M(γ): from 210At ε decay.",
"3477.26","1289.3","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"3637.49","1250.7","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"3693.89","1307.1","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"3727.34","201.8","M(γ): from 210At ε decay.",
"298.38","M(γ): from 210At decay.",
"4029.1","2602.4","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4043.37","1855.4","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4105.07","1917.1","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4141.08","1702.5","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"1953.6","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2583.8","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2665.5","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4329.5","2003.5","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4371.96","47.8","I(γ): from I(γ+ce) and α(E2)=238.",
"4386.9","2059.9","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2199.3","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"E(level)","E(gamma)","Comments",
"4469.83","2143.5","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2281.9","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2913.1","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4542.41","2139.2","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2159.8","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"3115.6","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4554.0","2365.6","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2997.9","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4592.6","4592.5","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4621.59","2207.9","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2227.7","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2238.8","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2331.5","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4637.71","2234.7","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2255.1","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2311.5","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4644.9","2456.9","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4660.28","2277.8","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"2334.1","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4776.89","405.5","M(γ): From ce data and γ(θ) in 208Pb(α,2nγ).",
"4948.1","2544.8","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"3474.9","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4974.4","2786.4","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"4998.2","2810.2","E(γ): From 209Bi(3He,dγ).. From 209Bi(3He,dγ)., I(γ): From 209Bi(3He,dγ).",
"5057.65","279.89","M(γ): From ce data and γ(θ) in 208Pb(α,2nγ).",
"685.69","M(γ): From ce data and γ(θ) in 208Pb(α,2nγ).",
"E(level)","E(gamma)","Comments",
"5614.69","556.9","E(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"6070.26","1012.6","E(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"6085.31","470.7","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ)",
"1027.7","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"6342.83","257.6","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ)",
"1285.3","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ)",
"6384.63","769.8","E(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"6422.08","351.8","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ)",
"807.3","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ)",
"6713.5","291.3","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ)",
"328.9","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"628.2","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"6983.9","270.4","E(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"6995.0","281.6","E(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"7719.6","724.6","E(γ): From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"7989.4","1005.5","E(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"8074.3","1079.3","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ)",
"1090.3","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ)",
"8831.1","756.8","E(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"8893.6","904.3","E(γ): From (13C,α3nγ), M(γ): From (13C,α3nγ)",
"9199.3","305.7","E(γ): From (13C,α3nγ), I(γ): From (13C,α3nγ)",
"368.0","E(γ): From (13C,α3nγ), I(γ): value is uncertain. From (13C,α3nγ)",
"9420.8","589.7","E(γ): From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"9464.8","633.7","E(γ): From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"9535.1","704","E(γ): From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"E(level)","E(gamma)","Comments",
"9567.4","368.1","E(γ): From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"9581.8","750.7","E(γ): From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"9590.1","759","E(γ): From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",
"10084.1","502.3","E(γ): From (13C,α3nγ). Configuration=((π 1h9/2)(π 3p3/2)); L=1 (3He,d).",

