"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"3428.59 3","B     H    M","5-","","316.99 9 ,    402.15 2 ,    518.3 2 ,   1041.7 3 ,   1046.3 3 ,   1955.14 6 ,   2001.7 2","20.6 15 ,   100.0 25 ,    20 10 ,    35 10 ,    16.1 20 ,    45 3 ,    14 1","M1, M1, M1, (E2), , E1,","3111.646,    3026.437,    2910.059,    2386.784,    2382.543,    1473.357,    1426.701","4-, 5-, 5-, 3-, 4+, 6+, 4+",
"3477.26 21","J","","","1289.3 2","100","","2187.96","8+",
"3525.37 4","B     H","6-","","499.06 7 ,    615.26 4 ,   1087.02 6 ,   1122.0 2 ,   2052.1 3","28 5 ,   100 6 ,    60 7 ,    86 20 ,    17 4","M1, M1+E2, (E1+M2), (E1+M2), (E1)","3026.437,    2910.059,    2438.36,    2403.282,    1473.357","5-, 5-, 7+, 5+, 6+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"3637.49 20","J","","","1250.7 2","100","","2386.784","3-",
"3685.41 5","H","7-","","1359.55 7 ,   1497.41 5 ,   2128.08 15 ,   2211.81 22","46 5 ,   100 5 ,    43 4 ,    45 6",", E1, E1, E1","2326.018,    2187.96,    1556.97,    1473.357","6+, 8+, 8+, 6+",
"3693.89 20","J","","","1307.1 2","100","","2386.784","3-",
"3699.61 6","B     H","5-","","1312.39 20 ,   1373.58 22 ,   1409.4 2 ,   2226.61 14 ,   2272.86 7","19 4 ,    25 6 ,   <18,    32 5 ,   100 6","E2, , (E3), E1+M2, E1","2386.784,    2326.018,    2290.14,    1473.357,    1426.701","3-, 6+, 2+, 6+, 4+",
"3711.01 9","B     H","(5-)","","1307.26 15 ,   2238.17 23 ,   2284.42 11","59 13 ,    95 13 ,   100 16",", (E1),","2403.282,    1473.357,    1426.701","5+, 6+, 4+",
"3727.34 6","B     H","(6)-","","201.8 2 ,    298.38 10 ,    602.5 2 ,    701.0 2 ,    817.23 10 ,   1289.29 16 ,   1324.1 2 ,   2254.28 12","9.0 18 ,    19 3 ,     7.0 11 ,    27 1 ,   100 10 ,    88 12 ,    27 1 ,    70 10","M1, M1, M1, M1, M1+E2, , , E1","3525.37,    3428.59,    3125.15,    3026.437,    2910.059,    2438.36,    2403.282,    1473.357","6-, 5-, (6)-, 5-, 5-, 7+, 5+, 6+",
"3779.91 6","B     H","(4,5)-","","870.01 8 ,   2306.2 3 ,   2353.02 9","100 13 ,    28 2 ,    94 8","M1+E2, , E1","2910.059,    1473.357,    1426.701","5-, 6+, 4+",
"3780.20 5","H","7-","","1453.7 2 ,   1592.25 3","14 4 ,   100 4","E1+M2, E1+M2","2326.018,    2187.96","6+, 8+",
"3792 1","K M","(2+)","","","","","","",
"4025.77 5","H    M","(7,8,9-)","","1837.79 3 ,   2469.11 14","100 4 ,    26 4",", (E1+M2)","2187.96,    1556.97","8+, 8+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"4029.1 3","IJK M","(4+)","","2602.4 3","100","","1426.701","4+",
"4043.37 21","J  M","","","1855.4 2","100","","2187.96","8+",
"4105.07 21","J LM","","","1917.1 2","100","","2187.96","8+",
"4141.08 13","IJK","(6+)","","1702.5 2 ,   1953.6 2 ,   2583.8 3 ,   2665.5 4","15 10 ,    30 10 ,   100 20 ,    30 10",", , ,","2438.36,    2187.96,    1556.97,    1473.357","7+, 8+, 8+, 6+",
"4145.32 4","H    M","(10)-","","962.61 7 ,   1146.47 20","100 7 ,    11 5","M1, (M1)","3182.79,    2999.48","10-, (9)-",
"4237 10","M","","","","","","","",
"4320 1","K","(3+)","","","","","","",
"4324.12 4","GH","(11-)","","178.81 1 ,   1474.94 1 ,   2767.1 4","7.7 20 ,   100.0 25 ,     3.6 5",", M1,","4145.32,    2849.17,    1556.97","(10)-, 11-, 8+",
"4329.5 3","J","","","2003.5 3","100","","2326.018","6+",
"4346 10","M","","","","","","","",
"4371.96 4","FGH    M","13-","54.4 ns 24","47.8,   1522.79 2","0.70 5 ,   100","[E2], E2","4324.12,    2849.17","(11-), 11-",
"4382 1","K M","(5+)","","","","","","",
"4386.9 3","J","","","2059.9 5 ,   2199.3 3","40 15 ,   100 10",",","2326.018,    2187.96","6+, 8+",
"4469.83 18","IJK","(6+)","","2143.5 3 ,   2281.9 3 ,   2913.1 3","10 8 ,    20 10 ,   100 15",", ,","2326.018,    2187.96,    1556.97","6+, 8+, 8+",
"4502.63 9","H","(12-)","","178.8 2 ,    357.13 10 ,   1653.43 15","74 26 ,    21 7 ,   100 12",", , (M1)","4324.12,    4145.32,    2849.17","(11-), (10)-, 11-",
"4542.41 20","J","(4+)","","2139.2 3 ,   2159.8 3 ,   3115.6 6","60 20 ,    40 10 ,   100 30",", ,","2403.282,    2382.543,    1426.701","5+, 4+, 4+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"4554.0 4","IJK","(7+)","","2365.6 4 ,   2997.9 6","80 20 ,   100 20",",","2187.96,    1556.97","8+, 8+",
"4592.6 4","IJ","","","4592.5 4","100","[M3]","0.0","0+",
"4621.59 16","J","(3+)","","2207.9 3 ,   2227.7 3 ,   2238.8 4 ,   2331.5 3","100 30 ,    30 10 ,    45 15 ,    50 25",", , ,","2413.834,    2393.78,    2382.543,    2290.14","3+, 1+, 4+, 2+",
"4624 1","I","(5+)","","","","","","",
"4637.71 21","J","","","2234.7 4 ,   2255.1 3 ,   2311.5 4","60 30 ,   100 15 ,    25 10",", ,","2403.282,    2382.543,    2326.018","5+, 4+, 6+",
"4644.9 5","IJ","(6+)","","2456.9 5","100","","2187.96","8+",
"4660.28 24","J","","","2277.8 3 ,   2334.1 4","75 25 ,   100 40",",","2382.543,    2326.018","4+, 6+",
"4776.89 11","FGH","14-","","274.20 7 ,    405.5 5","7.5 10 ,   100 10",", M1+E2","4502.63,    4371.96","(12-), 13-",
"4948.1 3","J","","","2544.8 3 ,   3474.9 5","50 25 ,   100 50",",","2403.282,    1473.357","5+, 6+",
"4971.28 15","H","(11-,12-)","","599.51 16 ,    825.44 27","100 31 ,     6.9 18",",","4371.96,    4145.32","13-, (10)-",
"4974.4 5","J","","","2786.4 5","100","","2187.96","8+",
"4991 1","I","","","","","","","",
"4998.2 5","J","","","2810.2 5","100","","2187.96","8+",
"5041 1","I","","","","","","","",
"5057.65 5","FGH","16+","263 ns 5","279.89 10 ,    685.69 2","9.0 8 ,   100 3","M2, E3","4776.89,    4371.96","14-, 13-",
"5186 1","I","","","","","","","",
"5270 1","I","","","","","","","",
"5614.69 21","F","(17+)","","556.9","100","D+Q","5057.65","16+",
"6070.26 25","F","(17+)","","1012.6","100","D+Q","5057.65","16+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"6085.31 21","F","(18+)","","470.7,   1027.7","100 10 ,    74 10",", Q","5614.69,    5057.65","(17+), 16+",
"6342.83 22","F","(19-)","","257.6,   1285.3","100 14 ,    76 19",",","6085.31,    5057.65","(18+), 16+",
"6384.63 25","F","(18-)","","42.0S,    769.8",",   100",", D","6342.83,    5614.69","(19-), (17+)",
"6422.08 25","F","(18)","","351.8,    807.3","100 15 ,    20 10",",","6070.26,    5614.69","(17+), (17+)",
"6713.5 3","F","(19+)","","291.3,    328.9,    628.2","54 5 ,   100 9 ,    77 9",", D, D+Q","6422.08,    6384.63,    6085.31","(18), (18-), (18+)",
"6983.9 4","F","(20-)","","270.4","100","D","6713.5","(19+)",
"6995.0 4","F","(20-)","","281.6","100","D","6713.5","(19+)",
"7719.6 5","F","(21-)","","724.6","100","","6995.0","(20-)",
"7989.4 5","F","(21)","","1005.5","100","(D)","6983.9","(20-)",
"8074.3 4","F","(23+)","9.0 ns 14","1079.3,   1090.3","100 12 ,    17 5","[E3], [E3]","6995.0,    6983.9","(20-), (20-)",
"8831.1 5","F","(24+)","","756.8","100","D+Q","8074.3","(23+)",
"8893.6 6","F","(23)","","904.3?","100","","7989.4","(21)",
"9199.3 6","F","(25)","","305.7?,    368.0?","100 22 ,    33 11",",","8893.6,    8831.1","(23), (24+)",
"9420.8 6","F","(25)","","589.7","100","","8831.1","(24+)",
"9464.8 6","F","(25)","","633.7","100","","8831.1","(24+)",
"9535.1 6","F","(26)","","704","100","","8831.1","(24+)",
"9567.4 7","F","(26)","","368.1?","100","","9199.3","(25)",
"9581.8 6","F","(26)","","750.7","100","","8831.1","(24+)",
"9590.1 6","F","(26)","","759","100","","8831.1","(24+)",
"10084.1 7","F","(27)","","502.3","100","","9581.8","(26)",

"E(level)(keV)","Jπ(level)","T1/2(level)","E(γ)(keV)","Multipolarity","MixingRatio","ConversionCoefficient","Additional Data",
"1181.398","2+","5.9 ps 12","1181.39 1","E2","","0.00535","B(E2)(W.u.)=0.56 12, α=0.00535, α(K)=0.00428 6, α(L)=0.000812 12, α(M)=0.000193 3, α(N)=4.97E-5 7, α(O)=1.025E-5 15, α(P)=1.270E-6 18",
"1426.701","4+","1.56 ns 6","245.31 1","E2","","0.236","B(E2)(W.u.)=4.46 18, α=0.236, α(K)=0.1057 15, α(L)=0.0971 14, α(M)=0.0255 4, α(N)=0.00653 10, α(O)=0.001265 18, α(P)=0.0001225 18",
"1473.357","6+","42.6 ns 10","46.85 5","E2","","259","B(E2)(W.u.)=3.05 9, α=259, α(L)=192 3, α(M)=51.1 8, α(N)=13.05 20, α(O)=2.47 4, α(P)=0.217 4",
"1556.97","8+","98.9 ns 25","83.54 8","E2","","15.97","B(E2)(W.u.)=1.12 4, α=15.97, α(L)=11.83 18, α(M)=3.16 5, α(N)=0.809 12, α(O)=0.1535 23, α(P)=0.01364 20",
"2187.96","8+","","630.97 1","M1+E2","0.52 5","0.0583","α=0.0583 19, α(K)=0.0473 16, α(L)=0.00839 23, α(M)=0.00198 6, α(N)=0.000510 14, α(O)=0.000106 3, α(P)=1.36×10-5 4",
"2290.14","2+","","1108.55 7","M1+E2","0.61 31","0.0133","α=0.0133 19, α(K)=0.0108 16, α(L)=0.00186 24, α(M)=0.00044 6, α(N)=0.000112 15, α(O)=2.3×10-5 3, α(P)=3.0E-6 4",
"2+","","2290.22 5","E2","","0.00198","α=0.00198, α(K)=0.001303 19, α(L)=0.000213 3, α(M)=4.97×10-5 7, α(N)=1.276E-5 18, α(O)=2.66E-6 4, α(P)=3.42E-7 5",
"2326.018","6+","","852.66 1","M1+E2","0.59 15","0.0259","α=0.0259 21, α(K)=0.0211 18, α(L)=0.0037 3, α(M)=0.00087 6, α(N)=0.000223 16, α(O)=4.7×10-5 4, α(P)=6.0E-6 5",
"2382.543","4+","","92.1 2","(E2)","","10.07","α=10.07 18, α(L)=7.46 13, α(M)=1.99 4, α(N)=0.510 9, α(O)=0.0969 17, α(P)=0.00865 15",
"4+","","955.84 1","M1+E2","0.47 17","0.0206","α=0.0206 17, α(K)=0.0168 15, α(L)=0.00289 22, α(M)=0.00068 5, α(N)=0.000175 13, α(O)=3.7×10-5 3, α(P)=4.7E-6 4",
"4+","","1201.46 13","E2","","0.00518","α=0.00518, α(K)=0.00415 6, α(L)=0.000782 11, α(M)=0.000186 3, α(N)=4.78×10-5 7, α(O)=9.88E-6 14, α(P)=1.225E-6 18",
"2386.784","3-","≈ 0.3 ps","960.01 5","E1","","0.00292","α=0.00292, α(K)=0.00243 4, α(L)=0.000378 6, α(M)=8.78×10-5 13, α(N)=2.25E-5 4, α(O)=4.68E-6 7, α(P)=5.97E-7 9",
"3-","≈ 0.3 ps","1205.38 2","E1","","0.00197","α=0.00197, α(K)=0.001627 23, α(L)=0.000250 4, α(M)=5.79×10-5 9, α(N)=1.485E-5 21, α(O)=3.10E-6 5, α(P)=3.97E-7 6",
