"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"2026.69","(1+)","","E(level): Main configuration=((π 1i13/2)(ν 1i11/2)).",
"2034.27","(5-)","","E(level): Main configuration=((π 1h9/2)(ν 3d5/2)).",
"2072.51","(9+)","","E(level): Main configuration=((π 1h9/2)(ν 1j15/2)).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"2079.18","(4-)","","E(level): Main configuration=((π 1h9/2)(ν 3d5/2)).",
"2099.30","(5-)","","E(level): Main configuration=((π 2f7/2)(ν 1i11/2)).",
"2099.4","(11+)","","XREF: L(2110)., E(level): Main configuration=((π 1h9/2)(ν 1j15/2)).",
"2108.33","(6-)","","E(level): Main configuration=((π 1h9/2)(ν 3d5/2)).",
"2135.14","(7-)","","E(level): Main configuration=((π 2f7/2)(ν 1i11/2)).",
"2177.25","(4-)","","E(level): Main configuration=((π 2f7/2)(ν 1i11/2)).",
"2237.81","(6-)","","E(level): Main configuration=((π 2f7/2)(ν 1i11/2)).",
"2258.88","(7+)","","E(level): Main configuration=((π 1i13/2)(ν 2g9/2)).",
"2314.14","(6-)","","E(level): Main configuration=((π 2f7/2)(ν 3d5/2)).",
"2525.14","(4-)","","E(level): Main configuration=((π 1h9/2)(ν 4s1/2)).",
"2578.75","(5-)","","E(level): Main configuration=((π 1h9/2)(ν 4s1/2)).",
"2610.10","(4-)","","E(level): Main configuration=((π 2f7/2)(ν 3d5/2)).",
"2724.07","(8+)","","E(level): Main configuration=((π 1i13/2)(ν 1i11/2)).",
"2737.19","(8-)","","E(level): Main configuration=((π 1h9/2)(ν 2g7/2)).",
"2758.96","(6+)","","E(level): Main configuration=((π 1i13/2)(ν 1i11/2)).",
"2764.97","(3+)","","E(level): Main configuration=((π 1i13/2)(ν 1i11/2)).",
"2765.16","(3-)","","E(level): Main configuration=((π 1h9/2)(ν 2g7/2)).",
"2818.00","(1-)","","E(level): Main configuration=((π 1h9/2)(ν 2g7/2)).",
"2819.05","(4+)","","E(level): Main configuration=((π 2f7/2)(ν 1j15/2)).",
"2840.46","(6-)","","XREF: F(2833)., E(level): Main configuration=((π 1h9/2)(ν 2g7/2)).",
"2910.15","(7+)","","E(level): Main configuration=((π 1i13/2)(ν 1i11/2)).",
"2921.15","(5-)","","E(level): Main configuration=((π 2f7/2)(ν 3d5/2)).",
"2966.46","(4-)","","E(level): Main configuration=((π 1h9/2)(ν 2g7/2)).",
"3004.53","(2-)","","E(level): Main configuration=((π 1h9/2)(ν 2g7/2)).",
"3010.86","(2-)","","E(level): Main configuration=((π 2f7/2)(ν 3d5/2)).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"3039.56","(3-)","","E(level): Main configuration=((π 1h9/2)(ν 3d3/2)).",
"3069.54","(4-)","","E(level): Main configuration=((π 1h9/2)(ν 3d3/2)).",
"3108.53","(5-)","","E(level): Main configuration=((π 1h9/2)(ν 2g7/2)).",
"3141.32","(6-)","","E(level): Main configuration=((π 1h9/2)(ν 3d3/2)).",
"3209.75","(5-)","","E(level): Main configuration=((π 1h9/2)(ν 3d3/2)).",
"3244.63","(7-)","","E(level): Main configuration=((π 1h9/2)(ν 2g7/2)).",
"3294.1","(13+)","","XREF: I(3299).",
"4030.2","(16+)","","XREF: F(4025).",
"4605.43","(5)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4606.95","(4)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4607.98","(5)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4609.09","(5)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4609.74","(5)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4610.92","(4)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4611.16","(3)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4613.65","(6)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4613.79","(5)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4614.35","(4)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4614.40","(3)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4620.28","(5)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4622.07","(6)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4622.47","(5)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4625.50","(5)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4625.68","(4)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"4626.92","(5)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"4627.78","(6)","","Jπ(level): From 209Bi(n,γ):resonances - 2006Do20 quoted spin and parity assignments from literature.",

"E(level)","E(gamma)","Comments",
"347.95","347.91","E(γ): Multiply placed",
"433.48","162.19","E(γ): Multiply placed",
"439.24","91.32","E(γ): Multiply placed",
"502.84","154.85","E(γ): Multiply placed",
"550.04","116.50","E(γ): Multiply placed",
"563.16","563.24","E(γ): Multiply placed",
"582.54","148.99","E(γ): Multiply placed",
"311.25","E(γ): Multiply placed",
"669.0","397.7","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"916.11","482.46","E(γ): Multiply placed",
"644.51","E(γ): Multiply placed",
"971.92","623.84","E(γ): Multiply placed",
"971.89","E(γ): Multiply placed, I(γ): Branching: Iγ(972γ)/Iγ(408γ)=0.35 14 ((d,pγ) - 1973Ca11)",
"993.72","490.89","E(γ): Multiply placed",
"1164.64","601.5","E(γ): Multiply placed",
"1118.08","E(γ): Multiply placed",
"1175.33","827.24","E(γ): Multiply placed",
"855.49","E(γ): Multiply placed",
"1175.47","E(γ): Multiply placed",
"1184.15","601.5","E(γ): Multiply placed",
"750.44","E(γ): Multiply placed",
"912.74","E(γ): Multiply placed",
"1208.41","705.25","E(γ): Multiply placed",
"775.01","E(γ): Multiply placed",
"1248.04","808.85","E(γ): Multiply placed",
"900.11","E(γ): Multiply placed",
"E(level)","E(gamma)","Comments",
"1300.61","116.47","E(γ): Multiply placed",
"718.2","E(γ): Multiply placed",
"750.44","E(γ): Multiply placed",
"1322.2","653","E(γ): From (208Pb,Xγ), M(γ): From (208Pb,Xγ)",
"1051","E(γ): From (208Pb,Xγ)",
"1335.71","785.75","E(γ): Multiply placed",
"832.70","E(γ): Multiply placed",
"896.36","E(γ): Multiply placed",
"1339.33","91.32","E(γ): Multiply placed",
"788.79","E(γ): Multiply placed",
"900.11","E(γ): Multiply placed",
"1373.99","871.03","E(γ): Multiply placed",
"1382.34","466.8","E(γ): Multiply placed",
"799.4","E(γ): Multiply placed",
"832.70","E(γ): Multiply placed",
"1390.00","214.78","E(γ): Multiply placed",
"887.19","E(γ): Multiply placed",
"950.82","E(γ): Multiply placed",
"1462.83","162.19","E(γ): Multiply placed",
"214.78","E(γ): Multiply placed",
"912.74","E(γ): Multiply placed",
"960.6","E(γ): Multiply placed",
"1473.1","151","E(γ): From (208Pb,Xγ)",
"1475.85","311.25","E(γ): Multiply placed",
"912.74","E(γ): Multiply placed",
"1156.39","E(γ): Multiply placed",
"E(level)","E(gamma)","Comments",
"1478.90","808.85","E(γ): Multiply placed",
"896.36","E(γ): Multiply placed",
"1523.30","148.99","E(γ): Multiply placed",
"1020.4","E(γ): Multiply placed",
"1175.47","E(γ): Multiply placed",
"1531.12","968.5","E(γ): Multiply placed",
"1211.3","E(γ): Multiply placed",
"1531.0","E(γ): Multiply placed",
"1585.24","1237.7","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"1585.22","E(γ): Multiply placed",
"1706.54","1156.39","E(γ): Multiply placed",
"1203.54","E(γ): Multiply placed",
"1753.5","1482.2","E(γ): Multiply placed",
"1776.38","1342.5","E(γ): Multiply placed",
"1793.41","1211.3","E(γ): Multiply placed",
"1837.06","1397.84","E(γ): Multiply placed",
"1896.84","903.13","E(γ): Multiply placed",
"1576.6","E(γ): Multiply placed",
"1924.40","339.4","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"1362.2","E(γ): Multiply placed",
"1576.6","E(γ): Multiply placed",
"1604.8","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"1924.9","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"1980.33","186.3","E(γ): Multiply placed",
"644.51","E(γ): Multiply placed",
"1064.10","E(γ): Multiply placed",
"1397.84","E(γ): Multiply placed",
"1430.32","E(γ): Multiply placed",
"1546.59","E(γ): Multiply placed",
"1708.99","E(γ): Multiply placed",
"E(level)","E(gamma)","Comments",
"1984.71","1012.68","E(γ): Multiply placed",
"1482.2","E(γ): Multiply placed",
"1665.27","E(γ): Multiply placed",
"1990.18","466.8","E(γ): Multiply placed",
"1550.8","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"1642.10","E(γ): Multiply placed",
"2005.99","623.84","E(γ): Multiply placed",
"705.25","E(γ): Multiply placed",
"1423.33","E(γ): Multiply placed",
"2006.25","758.37","E(γ): Multiply placed",
"1012.68","E(γ): Multiply placed",
"1503.1","E(γ): Multiply placed",
"2015.55","1576.6","E(γ): Multiply placed",
"2026.69","1032.76","E(γ): Multiply placed",
"1054.96","E(γ): Multiply placed",
"2034.27","644.51","E(γ): Multiply placed",
"1531.0","E(γ): Multiply placed",
"1594.9","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"1601.0","E(γ): Multiply placed",
"1686.5","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"2072.51","887.19","E(γ): Multiply placed",
"1156.39","E(γ): Multiply placed",
"2079.18","154.85","E(γ): Multiply placed",
"705.21","E(γ): Multiply placed",
"871.03","E(γ): Multiply placed",
"903.13","E(γ): Multiply placed",
"1085.6","E(γ): Multiply placed",
"1576.6","E(γ): Multiply placed",
"1733.3","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"1761.5","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"E(level)","E(gamma)","Comments",
"2099.30","64.92","E(γ): Multiply placed",
"575.91","E(γ): Multiply placed",
"623.84","E(γ): Multiply placed",
"1665.27","E(γ): Multiply placed",
"2099.4","1430.32","E(γ): Multiply placed",
"2108.33","1675.5","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"2135.14","154.85","E(γ): Multiply placed",
"799.4","E(γ): Multiply placed",
"950.82","E(γ): Multiply placed",
"1585.22","E(γ): Multiply placed",
"1695.55","E(γ): Multiply placed",
"1701.7","E(γ): Multiply placed",
"2177.25","968.5","E(γ): Multiply placed",
"1675.2","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"1738.3","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"1829.3","E(γ): Multiply placed",
"2237.81","775.01","E(γ): Multiply placed",
"855.49","E(γ): Multiply placed",
"2258.88","186.3","E(γ): Multiply placed",
"482.46","E(γ): Multiply placed",
"1074.29","E(γ): Multiply placed",
"1342.5","E(γ): Multiply placed",
"1708.99","E(γ): Multiply placed",
"1825.35","E(γ): Multiply placed",
"2314.14","1874.91","E(γ): Multiply placed",
"E(level)","E(gamma)","Comments",
"2525.14","347.91","E(γ): Multiply placed",
"490.89","E(γ): Multiply placed",
"1531.0","E(γ): Multiply placed",
"2022.2","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2085.7","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2177.0","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2578.75","563.22","E(γ): Multiply placed",
"2029.1","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2076.4","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2140.3","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2610.10","575.91","E(γ): Multiply placed",
"903.13","E(γ): Multiply placed",
"1362.2","E(γ): Multiply placed",
"2171.4","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2262.29","E(γ): Multiply placed",
"2290.1","E(γ): Multiply placed",
"2724.07","718.2","E(γ): Multiply placed",
"827.24","E(γ): Multiply placed",
"1423.33","E(γ): Multiply placed",
"2290.1","E(γ): Multiply placed",
"2725.3","1252","E(γ): From (208Pb,Xγ)",
"1403","E(γ): From (208Pb,Xγ)",
"2737.19","601.5","E(γ): Multiply placed",
"900.11","E(γ): Multiply placed",
"1397.84","E(γ): Multiply placed",
"2154.8","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2465.3","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"E(level)","E(gamma)","Comments",
"2758.96","623.84","E(γ): Multiply placed",
"1423.16","E(γ): Multiply placed",
"2325.9","E(γ): Multiply placed",
"2764.97","758.37","E(γ): Multiply placed",
"868.3","E(γ): Multiply placed",
"2262.29","E(γ): Multiply placed",
"2416.9","E(γ): Multiply placed. From 209Bi(d,pγ) (1973Pr11)",
"2765.16","186.3","E(γ): Multiply placed",
"758.37","E(γ): Multiply placed",
"775.01","E(γ): Multiply placed",
"868.3","E(γ): Multiply placed",
"1601.0","E(γ): Multiply placed",
"2262.29","E(γ): Multiply placed",
"2325.9","E(γ): Multiply placed",
"2416.9","E(γ): Multiply placed. From 209Bi(d,pγ) (1973Pr11)",
"2818.00","828.8","E(γ): Multiply placed",
"1342.5","E(γ): Multiply placed",
"1642.10","E(γ): Multiply placed",
"2470.9","E(γ): Multiply placed",
"2819.05","828.8","E(γ): Multiply placed",
"1342.5","E(γ): Multiply placed",
"1825.35","E(γ): Multiply placed",
"2470.9","E(γ): Multiply placed",
"2840.46","705.25","E(γ): Multiply placed",
"1064.10","E(γ): Multiply placed",
"2290.1","E(γ): Other value: 2291.1 keV 5 (d,pγ). Multiply placed",
"2402.0","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2407.7","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"E(level)","E(gamma)","Comments",
"2910.15","186.3","E(γ): Multiply placed",
"775.01","E(γ): Multiply placed",
"903.13","E(γ): Multiply placed",
"1203.54","E(γ): Multiply placed",
"1701.7","E(γ): Multiply placed",
"2921.15","162.19","E(γ): Multiply placed",
"785.75","E(γ): Multiply placed",
"887.19","E(γ): Multiply placed",
"1397.84","E(γ): Multiply placed",
"1531.0","E(γ): Multiply placed",
"1585.22","E(γ): Multiply placed",
"2966.46","788.79","E(γ): Multiply placed",
"887.19","E(γ): Multiply placed",
"960.7","E(γ): Multiply placed",
"1503.1","E(γ): Multiply placed",
"1576.6","E(γ): Multiply placed",
"2528.5","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"3004.53","186.3","E(γ): Multiply placed",
"827.24","E(γ): Multiply placed",
"1829.3","E(γ): Multiply placed",
"3010.86","1020.4","E(γ): Multiply placed",
"1085.6","E(γ): Multiply placed",
"1835.76","E(γ): Multiply placed",
"3039.56","960.7","E(γ): Multiply placed",
"1054.96","E(γ): Multiply placed",
"1576.6","E(γ): Multiply placed",
"1665.27","E(γ): Multiply placed",
"1874.91","E(γ): Multiply placed",
"2535.6","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2599.3","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2691.1","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"E(level)","E(gamma)","Comments",
"3069.54","64.92","E(γ): Multiply placed",
"490.89","E(γ): Multiply placed",
"1362.2","E(γ): Multiply placed",
"1546.59","E(γ): Multiply placed",
"1695.55","E(γ): Multiply placed",
"3108.53","871.03","E(γ): Multiply placed",
"1074.29","E(γ): Multiply placed",
"1118.08","E(γ): Multiply placed",
"1585.22","E(γ): Multiply placed",
"2674.2","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"3141.32","827.24","E(γ): Multiply placed",
"903.13","E(γ): Multiply placed",
"2591.3","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2702.1","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2708.2","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"3182.5","2679.7","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"2743.3","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"2834.5","E(γ): From 209Bi(d,pγ) (1973Pr11), I(γ): From 209Bi(d,pγ) (1973Pr11)",
"3209.75","971.89","E(γ): Multiply placed",
"1032.76","E(γ): Multiply placed",
"1074.29","E(γ): Multiply placed",
"1175.47","E(γ): Multiply placed",
"1203.54","E(γ): Multiply placed",
"1503.1","E(γ): Multiply placed",
"1835.76","E(γ): Multiply placed",
"1909.02","E(γ): Multiply placed",
"2862.3","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"E(level)","E(gamma)","Comments",
"3244.63","1909.02","E(γ): Multiply placed",
"2695.9","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"2805.8","E(γ): From 209Bi(d,pγ) (1973Pr11)",
"3294.1","1821","E(γ): From (208Pb,Xγ)",
"3469.2","175","E(γ): From (208Pb,Xγ), M(γ): From (208Pb,Xγ)",
"744","E(γ): From (208Pb,Xγ), M(γ): From (208Pb,Xγ)",
"4030.2","561","E(γ): From (208Pb,Xγ)",
"4085.8","1360","E(γ): From (208Pb,Xγ)",
"2613","E(γ): From (208Pb,Xγ)",
"4239.1","153","E(γ): From (208Pb,Xγ)",
"1514","E(γ): From (208Pb,Xγ)",
"4463.1","224","E(γ): From (208Pb,Xγ)",
"4594.1","131","E(γ): From (208Pb,Xγ)",
"564","E(γ): From (208Pb,Xγ)",
"4965.1","371","E(γ): From (208Pb,Xγ)",
"5182.1","217","E(γ): From (208Pb,Xγ)",
"5478.1","296","E(γ): From (208Pb,Xγ)",
"5748.1","783","E(γ): From (208Pb,Xγ)",
"5845.1","663","E(γ): From (208Pb,Xγ)",
"5996","518","E(γ): From (208Pb,Xγ)",

