"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"1908 4","F","","","","","","","",
"1924.40 9","G I K","(2-)","","339.4 3 ,   1362.2 5 ,   1576.6 7 ,   1604.8 3 ,   1924.9 5","54 8 ,      64 6 ,      54 21 ,     100 21 ,      48 7",", , , ,","1585.24,      563.16,      347.95,      319.73,        0.0","(2-), (1-), 3-, 2-, 1-",
"1980.33 12","G I K","(7-)","","186.3 3 ,    644.51 9 ,    772.34 13 ,   1064.10 14 ,   1397.84 7 ,   1430.32 7 ,   1546.59 24 ,   1708.99 8","<400,    <500,     100 33 ,    <154,    <300,    <367,    <107,    <760",", , , , , , ,","1793.41,     1335.71,     1208.41,      916.11,      582.54,      550.04,      433.48,      271.31","(8+), (5-), (6-), 8-, 8-, 6-, 7-, 9-",
"1984.71 8","FG   K","(3-)","","610.94 15 ,   1012.68 10 ,   1482.2 4 ,   1665.27 25","100 20 ,    <309,     <49,     <55",", , ,","1373.99,      971.92,      502.84,      319.73","(3-), (2-), 4-, 2-",
"1987 4","F","","","","","","","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"1990.18 9","FG   K","(3-)","","466.8 3 ,   1018.2 4 ,   1550.8 3 ,   1642.10 20 ,   1990.0 11","<222,     100 33 ,    <364,    <211,      67 22",", , , ,","1523.30,      971.92,      439.24,      347.95,        0.0","(4+), (2-), 5-, 3-, 1-",
"2005.99 14","G","(8-)","","623.84 10 ,    705.25 13 ,   1423.33 11",",  ,",", ,","1382.34,     1300.61,      582.54","(7-), (7-), 8-",
"2006.25 7","G","(4+)","","299.10 23 ,    632.4 4 ,    758.37 24 ,   1012.68 10 ,   1503.1 4 ,   1567.1 5 ,   1658.22 11","61 6 ,      20 6 ,     <26,    <235,     <26,      11 4 ,     100 22",", , , , , ,","1706.54,     1373.99,     1248.04,      993.72,      502.84,      439.24,      347.95","(5+), (3-), (4-), (3+), 4-, 5-, 3-",
"2015.55 14","G","(6+)","","1465.44 10 ,   1576.6 7 ,   1582.9 3","100 24 ,     <31,      41 7",", ,","550.04,      439.24,      433.48","6-, 5-, 7-",
"2026.69 10","G","(1+)","","1032.76 13 ,   1054.96 13 ,   1980.5 3 ,   2025.9 5","<48,     <87,      32 10 ,     100 26",", , ,","993.72,      971.92,       46.5390,        0.0","(3+), (2-), 0-, 1-",
"2034.27 5","FG I K","(5-)","","644.51 9 ,   1483.97 9 ,   1531.0 3 ,   1594.9 2 ,   1601.0 12 ,   1686.5 3","<188,     100 20 ,     <35,      40 2 ,     <35,      21 2",", , , , ,","1390.00,      550.04,      502.84,      439.24,      433.48,      347.95","(4-), 6-, 4-, 5-, 7-, 3-",
"2072.51 16","G    L","(9+)","","887.19 15 ,   1156.39 11 ,   1800.2 14","<750,   <1650,     100 50",", ,","1184.15,      916.11,      271.31","(8-), 8-, 9-",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
