"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"4133","(14+)","","E(level): Configuration=(ν 1j15/2)214+., Jπ(level): From L values and shell model calculations in 1993Vo02 (α,2He).",
"4185","","","E(level): From (HI,xnγ), 238U(208Pb,xnγ). From 210Pb(p,p’).",
"4285","","","L=(4) in (p,p’)., E(level): L=(4) in (p,p’). From (HI,xnγ), 238U(208Pb,xnγ). From 210Pb(p,p’).",
"4390","(9-)","","XREF: F(4370)., E(level): From (HI,xnγ), 238U(208Pb,xnγ). From 210Pb(p,p’). Configuration=((ν 1j15/2)(ν 3d5/2))9-., Jπ(level): From L values and shell model calculations in 1993Vo02 (α,2He).",
"4949","(11-)","","XREF: F(4890)., E(level): Configuration=((ν 1j15/2)(ν 2g7/2))11-., Jπ(level): From L values and shell model calculations in 1993Vo02 (α,2He).",
"5396","","","E(level): From (HI,xnγ), 238U(208Pb,xnγ). From 210Pb(p,p’).",
"5445","","","E(level): From (HI,xnγ), 238U(208Pb,xnγ). From 210Pb(p,p’).",
"5492","","","E(level): From (HI,xnγ), 238U(208Pb,xnγ). From 210Pb(p,p’).",

"E(level)","E(gamma)","Comments",
"799.7","799.7","E(γ): From 214Po α decay.",
"1097.7","298","E(γ): From 214Po α decay.",
"1195","97","E(γ): From 210Tl β- decay.. From 208Pb(7Li,αpγ).",
"1278","83","E(γ): From 210Tl β- decay.. From 208Pb(7Li,αpγ).",
"1806","528.0","E(γ): From (HI,xnγ), 238U(208Pb,xnγ).. From 210Pb(p,p’)., I(γ): From (HI,xnγ), 238U(208Pb,xnγ).",
"2512","1233.7","E(γ): From (HI,xnγ), 238U(208Pb,xnγ).. From 210Pb(p,p’)., I(γ): From (HI,xnγ), 238U(208Pb,xnγ).",
"3152","640.4","E(γ): From (HI,xnγ), 238U(208Pb,xnγ).. From 210Pb(p,p’)., I(γ): From (HI,xnγ), 238U(208Pb,xnγ).",
"1346.0","E(γ): From (HI,xnγ), 238U(208Pb,xnγ).. From 210Pb(p,p’)., I(γ): From (HI,xnγ), 238U(208Pb,xnγ).",
"4133","981.0","E(γ): From (HI,xnγ), 238U(208Pb,xnγ).. From 210Pb(p,p’)., I(γ): From (HI,xnγ), 238U(208Pb,xnγ).",

