"E(level)(keV)","XREF","Jπ(level)","T1/2(level)",
"0.0","AB D F","1/2+","STABLE",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"0.0","1/2+","STABLE","μ=-2.127625306 25 (2012Mo42), 3He binding energy: 7718.0428 keV 23; S(p)=5493.4768 keV 23 using mass excess values from (2012Wa38).",

