"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"3279.21 4","D F  I    N P       X    c","5-","","34.954 18 ,    262.70 3 ,    339.85 6 ,    452.84 8 ,    497.06 4 ,    895.12 5 ,   1281.81 10 ,   1595.27 8 ,   2476.7 2","0.11 1 ,    19.3 3 ,  ,     1.00 5 ,    97.8 10 ,   100.0 10 ,     0.42 4 ,    32.0 4 ,     0.09 1","M1(+E2), M1(+E2), , , M1(+E2), M1(+E2), E1, E1,","3244.24,   3016.43,   2939.60,   2826.31,   2782.17,   2384.15,   1997.67,   1683.99,    803.054","4-, 5-, 6-, (4)-, 5-, 6-, 4+, 4+, 2+",
"3328 5","N","","","","","","","",
"3377 2","N         X","","","","","","","",
"3402.65 4","D F  I    N P       XY   c","5-","","123.415 30 ,    158.386 21 ,    386.20 7 ,    462.92 10 ,    576.36 10 ,    620.48 5 ,    754.96 7 ,   1018.63 8 ,   1202.58 10 ,   1405.01 8 ,   1718.70 7 ,   2599.6 2","0.07 1 ,     0.26 2 ,     1.62 3 ,     0.17 2 ,     0.35 3 ,    18.1 2 ,     1.66 3 ,    23.8 3 ,     0.33 2 ,     4.50 8 ,   100.0 11 ,     0.41 3","M1(+E2), M1(+E2), M1(+E2), , , M1(+E2), E2, M1(+E2), E2, E1, E1, E3","3279.21,   3244.24,   3016.43,   2939.60,   2826.31,   2782.17,   2647.80,   2384.15,   2200.16,   1997.67,   1683.99,    803.054","5-, 4-, 5-, 6-, (4)-, 5-, 3-, 6-, 7-, 4+, 4+, 2+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"3453 3","P   T   XY   c","5-","","","","","","",
"3453.4 7","HI    N P   T","4+","","2650.3 7","100","","803.054","2+",
"3484.8 4","HI    N     T","","","1699.5 9 ,   2682.0 4","54 14 ,   100 18",",","1784.09,    803.054","2+, 2+",
"3516 3","HI    N     T   XY","(4+)","","2713 3","100","","803.054","2+",
"3562.87 5","D    I    N P       X  a","5-","","283.75 6 ,    780.66 10 ,    915.0 1 ,   1565.34 8 ,   1878.65 8 ,   2759.6 10",",  ,     1.53 15 ,    15.1 7 ,   100 2 ,     0.69 10",", , , E1, E1,","3279.21,   2782.17,   2647.80,   1997.67,   1683.99,    803.054","5-, 5-, 3-, 4+, 4+, 2+",
"3606.2 3","HI    N     T    Y    d","2+","","957.5 9 ?,   1822.1 3","64 13 ,   100",",","2647.80,   1784.09","3-, 2+",
"3623 13","Y","4+","","","","","","",
"3655 5","N         X","(6-)","","","","","","",
"3675 6","X    c","(4-)","","","","","","",
"3682.9 13","I    N  Q","","","1899.6 12 ?,   2880 3 ?","100 39 ,    44 22",",","1784.09,    803.054","2+, 2+",
"3718 2","N P       X    c","3-","","","","","","",
"3743.7 7","I K  N     T","1-","5.1 fs 6","2041 2 ?,   2941 3 ?,   3743.7 7","48 13 ,    16 6 ,   100 10",", ,","1704.45,    803.054,      0.0","1+, 2+, 0+",
"3765 4","U  XY","2+","","","","","","",
"3776.1 9","F  I    N P          a","5-","","515.7,   1778.4 11 ?,   2092.1 12","100 25 ,    10 5 ,    69 19",", E1,","3260.4,   1997.67,   1683.99","6+, 4+, 4+",
"3778.5 12","I","","","1995.5 12 ?,   2314 2 ?,   2977 3 ?","54 26 ,   100 26 ,    12 8",", ,","1784.09,   1466.81,    803.054","2+, 2+, 2+",
"3786 7","c","(3,4)-","","","","","","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"3795 6","N","","","","","","","",
"3827 5","N         X","","","","","","","",
"3847 4","N","","","","","","","",
"3883 5","N","","","","","","","",
"3901 6","N P        Y","(2)+","","","","","","",
"3943.7 13","I","","","1520.0 11 ?,   2605 3 ?,   3141 3 ?","100 37 ,    78 48 ,   ≤97",", ,","2423.36,   1340.49,    803.054","2+, 3+, 2+",
"3957.6 3","A    FG      N       V  Y","10+","","1299.1 3 ,   1757.7 5","100,    ≤3","E1, (E3)","2658.32,   2200.16","9-, 7-",
"3960","U","(6)+","","","","","","",
"3963 3","I          T    Y","4+","","3963 3","100","","0.0","0+",
"3971 3","I    N","","","3168 3 ?,   3971 3","100 14 ,    55 17",",","803.054,      0.0","2+, 0+",
"3980 5","N         X","2-","","","","","","",
"3989 3","I    N     T","","","2305 2 ?,   3186 3","100 27 ,    59 14",",","1683.99,    803.054","4+, 2+",
"3994 3","X","(5-)","","","","","","",
"3997 3","I    N               d","","","3997 3","100","","0.0","0+",
"4000 40","Y","10+,12+","","","","","","",
"4000.7 8","H                     d","","","1764.2 7","100","","2236.53","",
"4005.3 10","I    N     T        c","(4+)","","1075.9 9 ?,   2008.0 12 ?","88 47 ,   100 26",",","2929.09,   1997.67","4+, 4+",
"4010 3","I              X","","","3207 3","100","","803.054","2+",
"4027.3 3","A     G","12+","202 ns 3 , % IT = 100","69.7 5 ,   1369.0 3","2.8 4 ,   100 4","E2, E3","3957.6,   2658.32","10+, 9-",
"4035 3","I               Y","","","3232 3","100","","803.054","2+",
"4045 3","I    N         X","(3-,4-)","","3242 3","100","","803.054","2+",
"4051 3","I                   c","","","4051 3","100","","0.0","0+",
"4066 3","I    N         X  a","(5)-","","3263 3","100","","803.054","2+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"4076 3","I    N         X","","","3273 3","100","","803.054","2+",
"4.1E+3 1","Z  c","(0+)","","","","","","",
"4102 6","MN  Q","2+","≤ 1.1 fs","","","","","",
"4113 4","T    Y a","(4)+","","","","","","",
"4116.7 18","HI K               a   e","2+","1.59 fs 16","995.1 9 ?,   2775.0 14 ?,   4116.7 18","24 8 ,    71 16 ,   100 8",", ,","3122.38,   1340.49,      0.0","(3+), 3+, 0+",
"4120 3","X","(6-,7-)","","","","","","",
"4123 3","N            a","6+","","","","","","",
"4140 4","N          Y   c","(3-)","","","","","","",
"4145.9 8","K","1","18 fs 13","4145.9 8","100","","0.0","0+",
"4168 4","N","(3-)","","","","","","",
"4187 3","I    N               d","","","2503 3 ?","100","","1683.99","4+",
"4212 3","I                    d","","","4212 3","100","","0.0","0+",
"4221 3","X","(3-,4-)","","","","","","",
"4225 4","N          Y","(4+)","","","","","","",
"4238.3 11","I    N            a c","(5-)","","1854.1 11","100","","2384.15","6-",
"4243 3","X","(7-,8-)","","","","","","",
"4257 3","X","(5-,7-)","","","","","","",
"4292 5","N              c","(3-)","","","","","","",
"4317 3","X","(2-)","","","","","","",
"4320","M  P            c","4+","","","","","","",
"4328.6 5","I K        T","1-","1.38 fs 15","2627 3 ?,   4328.6 5","66 48 ,   100",",","1704.45,      0.0","1+, 0+",
"4340 3","I    N","(4+)","","4340 3","100","","0.0","0+",
"4347 3","I    N     T      a","6+","","3544 3","100","","803.054","2+",
"4373 3","X","","","","","","","",
"4385 3","I    N     T        c","(5-)","","2701 3 ?","100","","1683.99","4+",
"4410 3","I       Q","","","2627 3 ?,   3607 3","≤40,   100 18",",","1784.09,    803.054","2+, 2+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"4420 4","I    N","","","2717 3 ?,   3079 3 ?,   4420 4","100 33 ,   ≤84,    18 7",", ,","1704.45,   1340.49,      0.0","1+, 3+, 0+",
"4427 3 ?","I","","","3624 3 ?","100","","803.054","2+",
"4433.4 10","I","","","1239.0 10 ,   3631 3 ,   4434 4","100 29 ,    92 46 ,    42 21",", ,","3194.3,    803.054,      0.0","(1,2), 2+, 0+",
"4459 3","I    N","(5-)","","3656 3","25 13","","803.054","2+",
"4469.3 19","I","","","2235 2 ?,   4469.2 19","100 41 ,    38 9",",","2236.53,      0.0",", 0+",
"4474 3","N      U","(5-)","","","","","","",
"4483.6 5","I K             Y","2+","19 fs 3","4483.5 5","100","","0.0","0+",
"4496 5","N     T        c","(4-,5-,6)","","","","","","",
"4512 3","I","","","3709 3","100","","803.054","2+",
"4525 3","I","","","3722 3","100","","803.054","2+",
"4534 4","N         X","5-","","","","","","",
"4556 10","Y","9-","","","","","","",
"4563 10","c","(3-,4-)","","","","","","",
"4580 3","N         X","(7-,8+)","","","","","","",
"4595 5","N","","","","","","","",
"4604.7 4","I K","1-","","3141 3 ?,   4604.6 4","100 24 ,    38 14",",","1466.81,      0.0","2+, 0+",
"4614 7","N     T","(3-)","","","","","","",
"4626 10","c","(1,2,3)+","","","","","","",
"4648 4","I    N            a","","","3307 3 ?,   4648 4","100 50 ,    27 13",",","1340.49,      0.0","3+, 0+",
"4657 3","I","","","2460 3 ?,   3854 3","100 48 ,    74 13",",","2196.7,    803.054","(3)+, 2+",
"4664 4","N","5-","","","","","","",
"4673 3","X","(8-)","","","","","","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"4675 3","I                   c","(2+,3+)","","3872 3","100","","803.054","2+",
"4687 3","X","(2-)","","","","","","",
"4691.5 4 ?","K  N","1","6.0 fs 13","4691.4 4","100","","0.0","0+",
"4697 3","I                   c","(3-,4-)","","2385 2 ?,   3894 3","100 64 ,   100 21",",","2314,    803.054","0+, 2+",
"4717 4","I    N","4+,5","","4717 4","100","","0.0","0+",
"4728 3","X","(9-)","","","","","","",
"4730 3","I    N","","","2495 3 ?,   2583 3 ?,   3927 3","20 14 ,   100 39 ,    45 16",", ,","2236.53,   2148.97,    803.054",", 2+, 2+",
"4742 5","N         X  a c","","","","","","","",
"4756 3","I          T","","","3953 3","100","","803.054","2+",
"4758.5 4","F","(10+)","","2100.2 4","100","D","2658.32","9-",
"4763 4","I    N","","","4763 4","100","","0.0","0+",
"4778.7 7","I K            X","1","1.3 fs 9","3079 3 ?,   3975.6,   4778.6 10",",    18 18 ,   100 18",", ,","1704.45,    803.054,      0.0","1+, 2+, 0+",
"4793 5","N","5-","","","","","","",
"4795 3","I                   c","(3-,4-)","","3992 3","100","","803.054","2+",
"4809 6","N     T      a  d","(5-,6+)","","","","","","",
"4818 3","X","(10+)","","","","","","",
"4828 3","N     T","(7-)","","","","","","",
"4833 3","X","(5-)","","","","","","",
"4841.7 5","F      M","10+","","2183.4 4","100","D","2658.32","9-",
"4848 4","I          T","1,2","","4848 4","100","","0.0","0+",
"4860 6","N","(6+)","","","","","","",
"4862 3","X","(3-)","","","","","","",
"4878 3","N         X","(6-)","","","","","","",
"4889 5","N","(3-)","","","","","","",
"4901 4","N          Y","(7-)","","","","","","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"4912 3","X","(4+)","","","","","","",
"4914 3","I    N","(3-)","","4111 3 ?","100","","803.054","2+",
"4925 3","X","(5+)","","","","","","",
"4933.4 5","","(1,2+)","12.0 fs 27","4933.3 5","100","","0.0","0+",
"4939 4","N         X","(6+,7+)","","","","","","",
"4966 3","I    N","(3-)","","4163 3 ?","100","","803.054","2+",
"4972.1 3","I K","1-","0.65 fs 7","4972.0 3","100","","0.0","0+",
"4979 3","X","","","","","","","",
"4986 3","N","(3-)","","","","","","",
"5007 4","N","(4+)","","","","","","",
"5011 3","X","(9+)","","","","","","",
"5025 5","N","","","","","","","",
"5038.57 20","I K  N     T","1-","0.187 fs 21","4235.5,   5038.5 2","16 16 ,   100 16",",","803.054,      0.0","2+, 0+",
"5040","M","10+","","","","","","",
"5069 6","N     T","","","","","","","",
"5078 3","X","(3+)","","","","","","",
"5089 3","I    N     T","(3-,4+)","","4286 3","","","803.054","2+",
"5100","Y","(7-)","","","","","","",
"5111 5","N","(4+)","","","","","","",
"5112 3","X","(6+)","","","","","","",
"5126 6","MN     T","","≤ 21 fs","","","","","",
"5128.1 3","K","1","1.99 fs 25","5128.0 3","100","","0.0","0+",
"5138 7","N     T   X  a","(8+)","","","","","","",
"5169 4","N     T","","","","","","","",
"5180 4","I","","","5180 4","100","","0.0","0+",
"5195 4","I    N     T","(3+)","","5195 4","100","","0.0","0+",
"5209 5","N     T","","","","","","","",
"5217.6 4","FG","12+","","459.1 5 ,   1190.3 4","12 4 ,   100 16","[E2], M1,E2","4758.5,   4027.3","(10+), 12+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"5236.1 10","I    N","","","5236","100","","0.0","0+",
"5247 4","I    N            a","2+","","5247 4 ?","100","","0.0","0+",
"5261 5","M","3-","","","","","","",
"5276 4","I    N     T","(1-)","","4473 4","100","","803.054","2+",
"5282 4","I    N","","","5282 4 ?","100","","0.0","0+",
"5296 6","MN            a","(3-,2+)","","","","","","",
"5315 4","I   MN     T   XY a","(2+)","≤ 14 fs","5315 4","100","","0.0","0+",
"5332 7","N         X","(3-)","","","","","","",
"5350 4","I               Y","","","5350 4 ?","100","","0.0","0+",
"5365 6","N      U","(6+)","","","","","","",
"5378.2 3","I               Y a","1","1.65 fs 22","4576 4 ,   5378.1 3",",   100",",","803.054,      0.0","2+, 0+",
"5380 60","U","(9-)","","","","","","",
"5390 4","I","","","5390 4","100","","0.0","0+",
"5408.5 5","K  N","(1)","5.3 fs 12","5408.4 5","100","","0.0","0+",
"5411 8","U   Y","11-","","","","","","",
"5415 4","I    N     T","(4+)","","4612 4 ?","100","","803.054","2+",
"5435 7","MN            a","(3-)","","","","","","",
"5459.2 6","K  N","(1,2+)","1.37 fs 27","4656.1,   5459.1 6","82 27 ,   100 27",",","803.054,      0.0","2+, 0+",
"5463 6","N","(3-)","","","","","","",
"5471.9 3","K","1(-)","0.78 fs 9","5471.8 3","100","","0.0","0+",
"5475 10","a","6+","","","","","","",
"5485 4","N","(4+)","","","","","","",
"5493 10","M      T","2+","≤ 15 fs","","","","","",
"5513 4","I    N     T","","","5513 4 ?","100","","0.0","0+",
"5525.2 3","I K","1","1.14 fs 14","5525.1 3","100","","0.0","0+",
"5533 6","N","(4+)","","","","","","",
"5544 7","N            a","1-","","","","","","",
"5553.9 5","FG","(12)+","","336.2 4 ,   1526.6 5","100 25 ,    67 25","M1,E2, M1","5217.6,   4027.3","12+, 12+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"5561 8","MN          Y","(4+)","","","","","","",
"5581.2 3","I K M","1-","0.31 fs 4","5581.1 3","100","","0.0","0+",
"5588 8","N","(5-)","","","","","","",
"5602 4","I    N            a","(2+)","","4799 4","100","","803.054","2+",
"5610 60","Y","(9-)","","","","","","",
"5616.2 3","I K MN","1(-)","0.201 fs 21","4813.1,   5616.1 3","18 18 ,   100 18",",","803.054,      0.0","2+, 0+",
"5637 10","a","0+","","","","","","",
"5640 8","N","(3-)","","","","","","",
"5653 8","N     T","","","","","","","",
"5660 15","Y","(9-)","","","","","","",
"5676 6","MN","(2+)","","","","","","",
"5687 4","N            a","(4+)","","","","","","",
"5694.2 4","K M","1-","0.48 fs 7","5694.1 4","100","","0.0","0+",
"5702 8","N","(5-)","","","","","","",
"5715 7","MN","(2+)","","","","","","",
"5722.2 6","K  N","1","1.05 fs 17","4919.1,   5722.1 6","39 28 ,   100 28",",","803.054,      0.0","2+, 0+",
"5733.4 4","K M","1-","0.32 fs 7","5733.3 4","100","","0.0","0+",
"5741 4","I    N     T","","","4938 4","100","","803.054","2+",
"5762.7 4","K MN     T","1-","0.67 fs 8","5762.6 4","100","","0.0","0+",
"5775 4","I    N            a","(1-)","","4972 4 ?","100","","803.054","2+",
"5779 8","N","(5-)","","","","","","",
"5783.1 4","FG","(13+)","","229.4,    565.5 5 ,   1755.5 4","9.0 15 ,    20 7 ,   100 20","(E2,M1), , M1,E2","5553.9,   5217.6,   4027.3","(12)+, 12+, 12+",
"5796 7","N","(4,5)","","","","","","",
"5800","Y","(8+)","","","","","","",
"5800.6 4","K M","1+","0.27 fs 3","5800.5 4","100","","0.0","0+",
"5819.2 5","K  N","1-","1.80 fs 28","5819.1 5","100","","0.0","0+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"5832 4","I","","","5029 4 ?","100","","803.054","2+",
"5846.6 4","I K MN","1-","0.40 fs 7","5846.5 4","100","","0.0","0+",
"5858.3 4","K MN","1-","0.208 fs 27","5858.2 4","100","","0.0","0+",
"5885 4","N            a","","","","","","","",
"5903.7 4","K M      T","1-","0.132 fs 21","5903.6 4","100","","0.0","0+",
"5911 7","N","(4+)","","","","","","",
"5940 8","I    N            a","","","5936 4 ?","100","","0.0","0+",
"5951.9 12","K","(1,2+)","3.5 fs 12","5951.8 12","100","","0.0","0+",
"5959.3 5","K  N","1","1.32 fs 21","5959.2 5","100","","0.0","0+",
"5974 5","MN","2","","","","","","",
"5994 4","I    N","","","5994 4","100","","0.0","0+",
"6000.5 7","K  N     T","(1,2+)","5.1 fs 29","6000.4 7","100","","0.0","0+",
"6021.6 5","K  N","1","0.69 fs 10","6021.5 5","100","","0.0","0+",
"6034.2 5","FG","14+","","250.8 5 ,    816.5 5 ,   2007.3 5","44 11 ,   100 22 ,    78 11","M1, E2, E2,M3","5783.1,   5217.6,   4027.3","(13+), 12+, 12+",
"6040 5","N            a","3-","","","","","","",
"6065 8","N","","","","","","","",
"6071 4","N","","","","","","","",
"6083 7","N","","","","","","","",
"6100","U","(9-)","","","","","","",
"6100.3 15","K M","2+","1.4 fs 3","6100.2 15","100","","0.0","0+",
"6110.8 7","K  N            a","2+","0.46 fs 17","5307.7,   6110.7 10","100 19 ,    54 19",",","803.054,      0.0","2+, 0+",
"6146 7","N","","","","","","","",
"6154 5","N","","","","","","","",
"6167 6","N","","","","","","","",
"6167 30","U   Y","8+","","","","","","",
"6181 7","MN            a","2+","","","","","","",
"6197 4","I","","","6197 4","100","","0.0","0+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"6198 7","N","(6+)","","","","","","",
"6200.5 7","K","1","2.2 fs 4","6200.4 7","100","","0.0","0+",
"6220","K","(1+)","","","","","","",
"6236 4","I    N","","","6236 4 ?","100","","0.0","0+",
"6251 4","I","","","6251 4","100","","0.0","0+",
"6260 4","I    N","","","6260 4","100","","0.0","0+",
"6284 8","N","","","","","","","",
"6302 7","N","","","","","","","",
"6314 6","MN","(2+,3-)","","","","","","",
"6332 6","N","","","","","","","",
"6346 6","MN","2+","","","","","","",
"6382.6 7","G      N","(14+)","","348.4 5","100","","6034.2","14+",
"6408 8","N            a","8+","","","","","","",
"6410.6 6 ?","K","1","0.70 fs 17","6410.5 6","100","","0.0","0+",
"6418.8 8 ?","K M","1,2+","1.14 fs 29","6418.8 8 ?","100","","0.0","0+",
"6430.7 5","F","15-","","2403.4 4","100","E3","4027.3","12+",
"6433.8 7","K  N","1","1.3 fs 4","6433.7 7","100","","0.0","0+",
"6442.5 9","K  N","(1)","2.1 fs 9","6442.4 9","100","","0.0","0+",
"6469.3 10 ?","K  N","1","0.7 fs 6","5666.2,   6469.2 8 ?","43 43 ,   100 43",",","803.054,      0.0","2+, 0+",
"6480 7","N            a","(6+)","","","","","","",
"6496 9","N            a","","","","","","","",
"6510.7 10","K","1-","1.9 fs 17","6510.6 10","100","","0.0","0+",
"6524 9","N            a","6+","","","","","","",
"6545 10","MN","2-","","","","","","",
"6565.3 6","FG","(15-)","","531.1 4","100","D","6034.2","14+",
"6565.3+X 6","G","(17-)","","","","","","",
"6573 8","N     T      a","6+","","","","","","",
"6593 9","N","","","","","","","",
"6617 8","N","","","","","","","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"6620","K","(1+)","","","","","","",
"6634 10","N            a","(8+)","","","","","","",
"6655 8","N","","","","","","","",
"6689 11","N            a","8+","","","","","","",
"6692 7","N            a","6+","","","","","","",
"6723.1 10","K","1-","","6723 1","100","","0.0","0+",
"6761 5","N","","","","","","","",
"6806 6","N","","","","","","","",
"6820.6 7","K","1-","","5036,   6821 1",",",",","1784.09,      0.0","2+, 0+",
"6830 60","Y","","","","","","","",
"6850","K","(1+)","","","","","","",
"6851.4+X 10","FG","(17-)","","286.1","100","M1","6565.3+X","(17-)",
"6946 15","a","","","","","","","",
"7000","T","","","","","","","",
"7063.1 20","K","1(-)","","7063 2","100","","0.0","0+",
"7081.7 10","K","1(-)","","5615,   7078 4",",",",","1466.81,      0.0","2+, 0+",
"7127.1 20","K","(1-)","","7127 2","100","","0.0","0+",
"7202 4","K","1(-)","","7202 4","100","","0.0","0+",
"7311.2 7","K","1-","","6509,   7310",",",",","803.054,      0.0","2+, 0+",
"7350","U   Y","GE 9","","","","","","",
"7423 4","K","1-","","5963?,   7423 4",",",",","1466.81,      0.0","2+, 0+",
"7464.5 10","K","1,2","","5760,   7464 4",",",",","1704.45,      0.0","1+, 0+",
"7487 4","K","(1-)","","7487 4","100","","0.0","0+",
"7503.3 9","K        T","(1)","","5798,   7506 2",",",",","1704.45,      0.0","1+, 0+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"7543.1 20","K","1-","","7543 2","100","","0.0","0+",
"7570 4","K","1","","7570 4","100","","0.0","0+",
"7661.9+X 15","G","(18-)","","810.5","100","D","6851.4+X","(17-)",
"7758 15","T      a","(4+)","","","","","","",
