"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","ABCDEFGHIJKLMNOPQRSTUVWXYZabcde","0+","STABLE","","","","","",
"803.054 25","ABCDEFGHIJKLMNOPQRSTUVWXY a cde","2+","8.30 ps 25","803.06 3","100","E2","0.0","0+",
"1166.4 3","C  F   JKL NOP   T   XY abc","0+","0.75 ns 4","363.3 5 S,   1166.4 5","≤0.24,",", E0","803.054,      0.0","2+, 0+",
"1340.49 4","AB D FGHIJ L N P  STUVW Y   c","3+","","537.47 3","100","M1(+E2)","803.054","2+",
"1466.81 3","F HIJKL N P  STU WXY   c","2+","","126.42 6 ,    663.75 3 ,   1466.78 4","3.8 4 ,   100 1 ,    30.4 7",", (M1+E2), E2","1340.49,    803.054,      0.0","3+, 2+, 0+",
"1683.99 4","AB D FGHIJ LMN P  STUVWXY a","4+","","343.51 3 ,    880.98 4","35.4 5 ,   100.0 10","M1(+E2), E2","1340.49,    803.054","3+, 2+",
"1704.45 3","HIJKL N    ST  W Y   c","1+","","1704.45 3","100","","0.0","0+",
"1784.09 6","F HIJKL N     TU W Y   c","2+","","317.52 14 ,    617.6 4 ,    980.99 5 ,   1784.7 11","23 3 ,    11 3 ,   100 4 ,     5.2 15",", , M1+E2,","1466.81,   1166.4,    803.054,      0.0","2+, 0+, 2+, 0+",
"1997.67 4","B D F HIJ L N P   TU WXY","4+","","313.66 4 ,    657.18 4 ,   1194.68 8","21 2 ,   100 2 ,    14.5 8","M1(+E2), M1(+E2), E2","1683.99,   1340.49,    803.054","4+, 3+, 2+",
"2148.97 7","HIJ L N     TU WXY   c","2+","","682.29 19 ,    808.58 17 ,   1345.88 7","20 3 ,    20 3 ,   100 5","(M1+E2), (M1+E2),","1466.81,   1340.49,    803.054","2+, 3+, 2+",
"2196.7 4","HIJ            W","(3)+","","729.2 8 ,    856.6 6 ,   1393.8 8","7 3 ,   100,    78 5","(M1+E2), (M1+E2), (M1+E2)","1466.81,   1340.49,    803.054","2+, 3+, 2+",
"2200.16 4","AB D FG I    N P   TUVWXY","7-","125 µS 2 , % IT = 100","202.44 3 ,    516.18 4","0.11 1 ,   100 1","[E3], E3","1997.67,   1683.99","4+, 4+",
"2236.53 14","HI               Y","","","1433.47 13","100","","803.054","2+",
"2314 2","I          TU  XY   c","0+","","","","","","",
"2384.15 4","D F  I    N     T  W Y","6-","30 ps 10","183.977 16","100","M1(+E2)","2200.16","7-",
"2391.34 8 ?","D     J   N","","","1588.2 1","100","M1(+E2),E3","803.054","2+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"2423.36 4","HI    N     TU  XYZ","2+","","639.0 4 ,    718.92 5 ,    956.56 11 ,   1082.7 3 ,   1620.30 6","4.9 13 ,    48.5 20 ,    20.6 16 ,     8.5 16 ,   100 4",", , , ,","1784.09,   1704.45,   1466.81,   1340.49,    803.054","2+, 1+, 2+, 3+, 2+",
"2647.80 6","D F HIJ  MN PQRST  W Y a c e","3-","0.087 ps 21","964.22 10 ,   1844.49 10","6.4 7 ,   100 4","[E1], E1","1683.99,    803.054","4+, 2+",
"2658.32 19","A    FG I          TUVWXY","9-","","458.1 2","100","E2","2200.16","7-",
"2782.17 4","D F  IJ   N P    U WXY a c","5-","","398.00 3 ,    581.97 8 ,    784.58 7 ,   1098.26 7","79.6 7 ,     3.59 18 ,     3.97 7 ,   100 11","M1(+E2), E2, E1, E1","2384.15,   2200.16,   1997.67,   1683.99","6-, 7-, 4+, 4+",
"2826.31 4","D    IJ   N          Y","(4)-","","44.110 18 ,    434.89 10 ,    442.14 10 ,   1142.37 10 ,   2022.80 20","6.4 8 ,    20.5 18 ,    34 4 ,   100 4 ,    11.6 18","M1(+E2), , , E1, M2,E3","2782.17,   2391.34,   2384.15,   1683.99,    803.054","5-, , 6-, 4+, 2+",
"2864.55 6","D F  I    N     TU  XY","7-","","480.38 10 ,    664.17 10 ,   1180.70 10","91 9 ,   100 5 ,    68 7","M1, M1, [E3]","2384.15,   2200.16,   1683.99","6-, 7-, 4+",
"2929.09 9","F HI    N P   TU  XY","4+","","1588.59 8","100","M1","1340.49","3+",
"2939.60 5","D    IJ","6-","","157.504 28 ,    555.30 10 ,    739.24 8","22.6 25 ,    23.9 25 ,   100 5","M1(+E2), , M1(+E2)","2782.17,   2384.15,   2200.16","5-, 6-, 7-",
"2954.5 3","F","8-","","296.2 4 ,    754.4 4","68 8 ,   100 8","M1, M1","2658.32,   2200.16","9-, 7-",
"2960 2","N","","","","","","","",
"2984 5","N          Y","2+","","","","","","",
"3016.43 4","D F  IJ   N P    U  XY   c","5-","","190.04 3 ,    234.242 23 ,    632.25 5 ,    816.25 10 ,   1332.33 10",",     5.4 3 ,   100 1 ,  ,     6.3 3",", M1(+E2), M1+E2, , E1","2826.31,   2782.17,   2384.15,   2200.16,   1683.99","(4)-, 5-, 6-, 7-, 4+",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"3033 3","N","","","","","","","",
"3122.38 17","HIJ   N     TU   Y","(3+)","","1655.5 6 ,   2319.32 17","28 7 ,   100 10",",","1466.81,    803.054","2+, 2+",
"3139 6","N","","","","","","","",
"3194 2","J   N     T   XY    d","(5-)","","","","","","",
"3194.3 4","HIJ         T         d","(1,2)","","2391.0 4 ,   3194.6 5","65 15 ,   100 19",",","803.054,      0.0","2+, 0+",
"3225.40 6","D    I    N               d","(5,6,7)-","","360.82 6 ,    443.20 7 ,    841.28 7 ,   1025.30 10",",  ,   100 5 ,    22.9 21",", , M1(+E2),","2864.55,   2782.17,   2384.15,   2200.16","7-, 5-, 6-, 7-",
"3244.24 4","D    IJ             X    c","4-","","227.65 5 ,   1047.6,   1246.46 10 ,   1560.30 8 ,   1903.56 10 ,   2439.0 4",",    18 9 ,    22.2 21 ,   100 5 ,    92 4 ,     1.3 5",", , E1, , E1,","3016.43,   2196.7,   1997.67,   1683.99,   1340.49,    803.054","5-, (3)+, 4+, 4+, 3+, 2+",
"3260.4 5","F  IJ   N P    U  XY","6+","","1576.4 5","100","E2","1683.99","4+",
