"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"0.0","AB","1-","19.9 m 4 , % β- = 99.979 1, % α = 0.021 1","","","","","",
"53.2282 16","B","(2)-","≤ 0.10 ns","53.2284 18","100","M1+E2","0.0","1-",
"62.69 5","AB","","","","","","","",
"103 6","A","","","","","","","",
"258.870 20","B","(2)-","","196.19 5 ,   205.68 9 ,   258.86 3","12.5 15 ,     2.15 25 ,   100.0 7",", , M1","62.69,    53.2282,     0.0",", (2)-, 1-",
"295.2231 16","B","1-","≤ 0.05 ns","241.9950 23 ,   295.2228 18","39.36 9 ,   100.0 2","M1(+E2), M1+E2","53.2282,     0.0","(2)-, 1-",
"351.9324 18","B","0-,1-","≤ 0.10 ns","56.84?,   298.76?,   351.9321 18",",     0.074 13 ,   100.0 2",", , M1(+E2)","295.2231,    53.2282,     0.0","1-, (2)-, 1-",
"377.04 4","B","","","314.33 7 ,   323.84 4","100 8 ,    37 4",",","62.69,    53.2282",", (2)-",
"533.676 13","B","(1-)","","181.5?,   238.4?,   274.80 4 ,   480.432 20 ,   533.66 2","0.3 1 ,    <4.5,   100 3 ,    95.0 11 ,    51.1 18",", , (M1+E2), D(+Q),","351.9324,   295.2231,   258.870,    53.2282,     0.0","0-,1-, 1-, (2)-, (2)-, 1-",
"797.29 9 ?","B","","","538.42 8 ?","100","","258.870","(2)-",
"839.009 20","B","1+","","305.26 3 ,   462.02 6 ,   487.14 6 ,   543.83 7 ,   580.14 3 ,   785.96 8 ,   839.07 8","2.9 2 ,    19.9 5 ,    40.5 4 ,     4.1 3 ,    34.7 4 ,   100 3 ,    54.7 8",", , (E1), , (E1), E1, (E1)","533.676,   377.04,   351.9324,   295.2231,   258.870,    53.2282,     0.0","(1-), , 0-,1-, 1-, (2)-, (2)-, 1-",
"888.04 10 ?","B","","","511.00 9 ?","100","","377.04","",

"E(level)(keV)","Jπ(level)","T1/2(level)","E(γ)(keV)","Multipolarity","MixingRatio","ConversionCoefficient","Additional Data",
"53.2282","(2)-","≤ 0.10 ns","53.2284 18","M1+E2","0.030 10","12.14","B(E2)(W.u.)≥5.2, B(M1)(W.u.)≥0.10, α=12.14 19",
"258.870","(2)-","","258.86 3","M1","","0.696","α=0.696",
"295.2231","1-","≤ 0.05 ns","241.9950 23","M1(+E2)","0.00 15","0.838","B(M1)(W.u.)≥0.0055, α=0.838 18",
"1-","≤ 0.05 ns","295.2228 18","M1+E2","0.30 13","0.46","B(E2)(W.u.)≥0.83, B(M1)(W.u.)≥0.0065, α=0.46 3",
"351.9324","0-,1-","≤ 0.10 ns","351.9321 18","M1(+E2)","0.00 35","0.300","B(M1)(W.u.)≥0.0034, α=0.300 25",
"533.676","(1-)","","274.80 4","(M1+E2)","1.0 LE","0.48","α=0.48 11",
"(1-)","","480.432 20","D(+Q)","0.0 10","","",
"839.009","1+","","487.14 6","(E1)","","0.01046","α=0.01046",
"1+","","580.14 3","(E1)","","0.00732","α=0.00732",
"1+","","785.96 8","E1","","0.00406","α=0.00406",
"1+","","839.07 8","(E1)","","0.00359","α=0.00359",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"0.0","1-","19.9 m 4 , % β- = 99.979 1, % α = 0.021 1","%α taken from 1960Wa14; other value: 0.04% from 1931Cu01., E(level): %α taken from 1960Wa14; other value: 0.04% from 1931Cu01.",
"62.69","","","The level is populated by favored α from 218At; therefore, Jπ(62.7 level)=Jπ(218At g.s.) which, is proposed as 1- from systematics by 2003Au02., E(level): The level is populated by favored α from 218At; therefore, Jπ(62.7 level)=Jπ(218At g.s.) which, is proposed as 1- from systematics by 2003Au02.",
"103","","","E(level) is from the measured Eα=6653 5 to this level and Eα=6693 3 to the 62.7 level in the 218At α decay., E(level): E(level) is from the measured Eα=6653 5 to this level and Eα=6693 3 to the 62.7 level in the 218At α decay.",

"E(level)","E(gamma)","Comments",

