"E(level)(keV)","XREF","Jπ(level)","T1/2(level)",
"0.0","A","1/2+","STABLE",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"0.0","1/2+","STABLE","μ=+2.792847351 28 (2004Ei01), Charge radius=0.870 fm 8 (2004Ei01). Measurements: 2001Es10, 2000Me30, 2000Ro08.",

