"E(level)(keV)","XREF","Jπ(level)","T1/2(level)",
"0.0","AB","1/2+","12.32 y 2 , % β- = 100",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"0.0","1/2+","12.32 y 2 , % β- = 100","μ=+2.978962467 26, 3H binding energy: 8481.7986 keV 24; S(n)=6257.2327 keV 22 using mass excess values from (2012Wa38)., E(level): 3H binding energy: 8481.7986 keV 24; S(n)=6257.2327 keV 22 using mass excess values from (2012Wa38).",

